"assessments","LAKE_ID","WATER","Waterbody_Classification","LOCATION_ID","SAMPLE_ID","SAMPLE_NAME","SAMPLE_DATE","TIME","Characteristic.Name","Result.Value","Result.Sample.Fraction","Result.Unit","INFO_TYPE","START_DEPTH","END_DEPTH","VALIDATOR_QUALIFIERS","INTERPRETED_QUALIFIERS","Depth","thresholdMIN","thresholdMAX","DATA_PROVIDER"
NA,"0902BAR0262","Barnum Pond","CT","0902BAR0262_DH",59017,"18LCB001",2018-08-29,"10:50 AM","ALKALINITY, TOTAL (AS CACO3)",10,"T","mg/l","DP","0","2","A","",NA,NA,NA,"LCI"
NA,"0902BAR0262","Barnum Pond","CT","0902BAR0262_DH",59017,"18LCB001",2018-08-29,"10:50 AM","ALKALINITY, TOTAL (AS CACO3)",10,"T","mg/l","OW","0","2","A","",NA,NA,NA,"LCI"
NA,"1702BRY1106","Bryam Lake Reservoir","AA","1702BRY1106_DH",59187,"18LIS009",2018-07-31,"9:55 AM","ALKALINITY, TOTAL (AS CACO3)",42.8,"T","mg/l","OW",".12","10.91","A","",NA,NA,NA,"LCI"
NA,"1005BAR0338","Bartlett Pond","AAT","1005BAR0338_DH",59018,"18LCB003",2018-08-29,"10:45 AM","ALKALINITY, TOTAL (AS CACO3)",21.2,"T","mg/l","DP","0","5","A","",NA,NA,NA,"LCI"
NA,"1005BAR0338","Bartlett Pond","AAT","1005BAR0338_DH",59018,"18LCB003",2018-08-29,"10:45 AM","ALKALINITY, TOTAL (AS CACO3)",21.2,"T","mg/l","OW","0","5","A","",NA,NA,NA,"LCI"
NA,"1006CRA0380","Cranberry Pond","AA-S","1006CRA0380_DH",59019,"18LCB005",2018-08-29,"2:35 PM","ALKALINITY, TOTAL (AS CACO3)",9.6,"T","mg/l","DP","0","3","A","",NA,NA,NA,"LCI"
NA,"1006CRA0380","Cranberry Pond","AA-S","1006CRA0380_DH",59019,"18LCB005",2018-08-29,"2:35 PM","ALKALINITY, TOTAL (AS CACO3)",9.6,"T","mg/l","OW","0","3","A","",NA,NA,NA,"LCI"
NA,"1003FRA5095","Franklin Falls Pond","CT","1003FRA5095_DH",59020,"18LCB007",2018-08-28,"11:23 AM","ALKALINITY, TOTAL (AS CACO3)",22.8,"T","mg/l","DP","0","5.5","A","",NA,NA,NA,"LCI"
NA,"1003FRA5095","Franklin Falls Pond","CT","1003FRA5095_DH",59020,"18LCB007",2018-08-28,"11:23 AM","ALKALINITY, TOTAL (AS CACO3)",22.8,"T","mg/l","OW","0","5.5","A","",NA,NA,NA,"LCI"
NA,"1006JAB0394","Jabe Pond","AA-S","1006JAB0394_DH",59021,"18LCB009",2018-08-29,"12:55 PM","ALKALINITY, TOTAL (AS CACO3)",8,"T","mg/l","DP","0","3","A","",NA,NA,NA,"LCI"
NA,"1006JAB0394","Jabe Pond","AA-S","1006JAB0394_DH",59021,"18LCB009",2018-08-29,"12:55 PM","ALKALINITY, TOTAL (AS CACO3)",8,"T","mg/l","OW","0","3","A","",NA,NA,NA,"LCI"
NA,"1701GRE0885","Great Patchogue Lake","B",NA,61551,"18LIS064",2018-08-07,"","ALKALINITY, TOTAL (AS CACO3)",13.2,"T","mg/l","BS","","","A","",NA,NA,NA,"LCI"
NA,"1003COL0106","Lake Colby","AT","1003COL0106_DH",59022,"18LCB011",2018-08-29,"12:02 PM","ALKALINITY, TOTAL (AS CACO3)",31.2,"T","mg/l","DP","0","10","A","",NA,NA,NA,"LCI"
NA,"1003COL0106","Lake Colby","AT","1003COL0106_DH",59022,"18LCB011",2018-08-29,"12:02 PM","ALKALINITY, TOTAL (AS CACO3)",31.2,"T","mg/l","OW","0","10","A","",NA,NA,NA,"LCI"
NA,"1702GLE1070","Glenwood Lake","C","1702GLE1070_DH",59151,"18LIS019",2018-08-01,"11:20 AM","ALKALINITY, TOTAL (AS CACO3)",50.4,"T","mg/l","OW",".06","4.5199999999999996","A","",NA,NA,NA,"LCI"
NA,"1003KUS0055","Lake Kushaqua","CT","1003KUS0055_DH",59023,"18LCB013",2018-08-29,"8:33 AM","ALKALINITY, TOTAL (AS CACO3)",18,"T","mg/l","DP","0","24","A","",NA,NA,NA,"LCI"
NA,"1003KUS0055","Lake Kushaqua","CT","1003KUS0055_DH",59023,"18LCB013",2018-08-29,"8:33 AM","ALKALINITY, TOTAL (AS CACO3)",18,"T","mg/l","OW","0","24","A","",NA,NA,NA,"LCI"
NA,"1702KIS0076","Kissena Lake","B","1702KIS0076_DH",59092,"18LIS025",2018-07-24,"3:00 PM","ALKALINITY, TOTAL (AS CACO3)",60.4,"T","mg/l","OW","0","1.5","A","",NA,NA,NA,"LCI"
NA,"1003LSA0104","Lower Saranac Lake","AA","1003LSA0104_DH",59024,"18LCB017",2018-08-28,"3:12 PM","ALKALINITY, TOTAL (AS CACO3)",11.2,"T","mg/l","DP","0","14","A","",NA,NA,NA,"LCI"
NA,"1003LSA0104","Lower Saranac Lake","AA","1003LSA0104_DH",59024,"18LCB017",2018-08-28,"3:12 PM","ALKALINITY, TOTAL (AS CACO3)",11.2,"T","mg/l","OW","0","14","A","",NA,NA,NA,"LCI"
