"LAKE_ID","basin","Waterbody_Classification","WATER","eutrophic","mesotrophic","oligotrophic","anoxic","lower DO than WQS","healthy DO","low PH","high PH","high color","healthy UVDOC","hardwater","softwater","healthy","ignore ChlA from DP","<NA>","rejected epi data","errors","eut.wo.err"
"0601ARN0362","_06","BT","Arnold Lake",0,1,1,1,0,0,5,0,1,0,0,17,15,0,85,5,"AMMONIA, NITROGEN, NITRATE-NITRITE, PHOSPHORUS, TOTAL ORGANIC CARBON, TRUE COLOR",0
"0601GIL0287","_06","AAT","Gilbert Lake",0,1,1,1,0,0,2,0,1,2,0,9,10,0,59,3,"AMMONIA, PHOSPHORUS, TRUE COLOR",0
"0601GOE0378","_06","AA","Goey Pond",0,0,2,1,0,0,3,1,0,3,0,15,16,1,97,3,"AMMONIA, PHOSPHORUS, TRUE COLOR",0
"0602GLO0040","_06","C","Glover Pond",1,2,0,1,0,0,3,0,1,0,1,4,4,0,35,1,"NITROGEN, NITRATE-NITRITE",1
"0602ROU0082","_06","C","Round Pond",2,2,0,1,0,0,4,0,2,0,0,5,3,1,44,1,"NITROGEN, NITRATE-NITRITE",2
"0602SHA5677","_06","CTS","Shackham Pond",3,0,0,0,1,0,0,1,1,0,0,6,5,0,28,1,"NITROGEN, NITRATE-NITRITE",3
"0602SPR0050A","_06","","Spruce Pond",3,0,0,0,0,1,0,0,1,0,0,4,4,0,22,1,"NITROGEN, NITRATE-NITRITE",3
"0602WHA5659","_06","C","Whaley Pond",3,0,0,1,0,0,5,0,1,0,0,4,1,0,31,1,"NITROGEN, NITRATE-NITRITE",3
"0603GREXXX1","_06","","Greenwood Park Lake

",3,0,0,1,0,0,0,2,1,0,0,5,3,0,31,1,"NITROGEN, NITRATE-NITRITE",3
"0902BAR0262","_09","CT","Barnum Pond",4,0,0,0,0,1,0,0,2,0,0,0,6,1,34,1,"AMMONIA",4
"1003COL0106","_10","AT","Lake Colby",0,1,3,1,0,0,0,1,0,2,7,0,16,1,68,2,"AMMONIA, TRUE COLOR",0
"1003FRA5095","_10","CT","Franklin Falls Pond",1,3,0,0,0,1,0,0,2,0,0,7,7,1,50,1,"AMMONIA",1
"1003KUS0055","_10","CT","Lake Kushaqua",0,4,0,1,0,0,11,4,2,0,0,18,3,1,92,1,"AMMONIA",0
"1003LSA0104","_10","AA","Lower Saranac Lake",0,2,2,0,1,0,8,0,0,2,0,15,9,1,86,1,"AMMONIA",0
"1003MOO0083","_10","AT","Moose Pond",0,1,3,0,0,1,6,0,0,2,0,12,8,1,74,2,"AMMONIA, TRUE COLOR",0
"1004MIL0318","_10","CT","Mill Pond",0,4,0,1,0,0,0,0,2,0,0,0,14,1,41,1,"AMMONIA",0
"1004RUS0316","_10","CT","Russett Pond",0,4,0,1,0,0,0,1,2,0,0,2,11,1,41,1,"AMMONIA",0
"1005BAR0338","_10","AAT","Bartlett Pond",0,3,1,1,0,0,0,0,0,2,0,5,9,1,50,1,"AMMONIA",0
"1005PEN0351A","_10","CT","Penfield Pond",4,0,0,1,0,0,0,0,2,0,2,0,6,1,34,1,"AMMONIA",4
"1006CRA0380","_10","AA-S","Cranberry Pond",1,3,0,1,0,0,0,0,0,2,0,4,6,1,44,1,"AMMONIA",1
"1006JAB0394","_10","AA-S","Jabe Pond",0,1,3,0,0,1,0,0,0,2,0,4,6,1,42,2,"AMMONIA, TRUE COLOR",0
"1301MORXXX1","_13","","Morningside Pond",3,0,0,0,0,1,0,0,1,0,0,0,6,0,35,3,"AMMONIA, NITROGEN, NITRATE-NITRITE, PHOSPHORUS",2
"1301THE1027","_13","B","The Pond in Central Park",3,0,0,1,0,0,0,0,1,0,0,0,8,0,23,2,"AMMONIA, PHOSPHORUS",2
"1301THE1034","_13","B","The Pool",3,0,0,0,1,0,0,0,1,0,2,0,4,0,20,2,"AMMONIA, PHOSPHORUS",2
