"LAKE_ID","PWLID","basin","WATER","PWS","PIdrinking","PIrecreation","PIaquatic","bloom","eutrophic","mesotrophic","oligotrophic","year","hypo","Classification","Beaches","ACRES","Y_Coordinate","X_Coordinate","WIPWL","cost"
"1005BAR0338","1001-0027","_10","Bartlett Pond","Yes",1,0,0,NA,0,2,1,"2018",NA,"AAT","No",96.2,44.106499,-73.510803,NA,936
"1003ROL0168","1003-0100","_10","Rollins Pond",NA,13,1,0,NA,3,17,2,"2014","yes","AAT","No",446.8,44.3106,-74.413803,"needs verification",1496
"1004UCA0271","1004-0075","_10","Upper Cascade Lake",NA,3,0,0,NA,0,1,2,"1999","yes","AAT","No",23.7,44.2234,-73.878304,"needs verification",1496
"1701LAU0496","1701-0128","_17","Laurel Lake",NA,2,3,1,"yes",6,0,0,"2018","yes","A(T)","No",29.67,40.978901,-72.557503,NA,1496
"1701MAR0495","1701-0129","_17","Maratooka Lake",NA,2,2,1,"yes",6,0,0,"2018",NA,"A","No",22.85,40.993099,-72.524002,NA,936
"0601GIL0287","0601-0095","_06","Gilbert Lake",NA,2,0,0,"yes",0,1,1,"2018","yes","AAT","Yes",40.19,42.580002,-75.128304,NA,1496
"1006CRA0380","","_10","Cranberry Pond",NA,2,0,0,NA,1,2,0,"2018",NA,"AA-S","No",11.1,43.551998,-73.677902,NA,936
"0601GOE0378","0601-0112","_06","Goey Pond",NA,2,0,0,NA,0,0,2,"2018","yes","AA","No",34.12,42.625599,-74.974197,NA,1496
"1702SHE1087","1702-0067","_17","Sheldrake Lake",NA,1,2,1,"yes",3,0,0,"2018",NA,"A","No",24.8,40.9524,-73.774498,NA,936
"1004LCA0270","1004-0075","_10","Lower Cascade Lake",NA,1,0,0,NA,0,1,1,NA,"yes","AAT","No",25.7,44.236,-73.863197,"needs verification",1496
"0601ESI0262","0601-0001","_06","East Sidney Lake",NA,0,7,0,"yes",10,7,0,"2009","yes","BT","Yes",115.8,42.327599,-75.2145,"needs verification",1160
"0602LLY5637","0602-0017","_06","Lower Little York Lake",NA,0,6,0,NA,8,8,0,"2009",NA,"B","No",19.3,42.692402,-76.163902,"needs verification",732
"1701REE0763","1701-0281","_17","Big Reed Pond",NA,0,2,0,"yes",4,2,0,"2018",NA,"B","No",53.82,41.078098,-71.910103,NA,732
"1701DON0565A","","_17","Donahues Pond",NA,0,1,1,NA,2,1,0,"2018",NA,"B","No",41.82,40.898102,-72.779099,NA,732
"1003COL0106","1003-0079","_10","Lake Colby",NA,0,1,1,NA,0,1,2,"2018",NA,"AT","Yes",295.1,44.342899,-74.153198,NA,936
"1702CLO1074","","_17","Clove Lake",NA,0,1,0,"yes",3,0,0,"2018",NA,"B","No",10,40.616798,-74.107597,NA,732
"1702OAK0107","1702-0114","_17","Oakland Lake",NA,0,1,0,"yes",3,0,0,"2018",NA,"B","No",10.06,40.758598,-73.759598,NA,732
"1003CLE0199","1003-0109","_10","Lake Clear",NA,0,1,0,"yes",1,142,114,"2012","yes","AAT","Yes",973.6,44.369202,-74.252296,"needs verification",1496
"0601YOU0408","0601-0026","_06","Youngs Lake",NA,0,1,0,NA,1,2,0,"2003",NA,"B","No",66.66,42.8442,-74.921303,"needs verification",732
"1003LSA0104","1003-0078","_10","Lower Saranac Lake",NA,0,1,0,NA,0,2,1,"2018",NA,"AA","Yes",2145.1,44.303398,-74.1744,NA,936
"1702BRY1106","1702-0134","_17","Bryam Lake Reservoir",NA,0,1,0,NA,0,1,2,"2018","yes","AA","No",163.02,41.168201,-73.691399,NA,1496
"0602WHA5659","","_06","Whaley Pond",NA,0,0,2,NA,3,0,0,"2018",NA,"C","No",54,42.5299,-75.700996,NA,732
"1003KUS0055","1003-0062","_10","Lake Kushaqua",NA,0,0,2,NA,0,3,0,"2018",NA,"CT","No",379.5,44.517601,-74.114502,NA,732
"0602ROU0082","0602-0094","_06","Round Pond",NA,0,0,1,NA,2,1,0,"2018",NA,"C","No",24.4,42.399799,-75.838402,NA,732
"1701GRE0885","1701-0055","_17","Great Patchogue Lake",NA,0,0,1,NA,2,1,0,"2018","yes","B","No",49.23,40.7687,-73.0214,NA,1160
"1003MOO0083","1003-0069","_10","Moose Pond",NA,0,0,1,NA,0,1,2,"2018",NA,"AT","No",157.1,44.3718,-74.062698,NA,936
"0902BAR0262","0902-0158","_09","Barnum Pond",NA,0,0,0,"yes",6,0,0,"2018",NA,"CT","No",90.98,44.459999,-74.259499,NA,732
"1701LOW0855","1701-0322","_17","Lower Lake",NA,0,0,0,"yes",6,0,0,"2018",NA,"C(T)","No",25.01,40.8363,-72.925003,NA,732
"1701FRE0753","1701-0280","_17","Fresh Pond (Hither Hills SP)",NA,0,0,0,"yes",3,0,0,"2018",NA,"C","No",32.43,41.0159,-72.024498,NA,732
"1701PEC0555","1701-0262","_17","Peconic Lake",NA,0,0,0,"yes",2,0,0,"2018",NA,"B","No",102.53,40.914001,-72.717796,NA,732
"1003FRA5095","1003-0045","_10","Franklin Falls Pond",NA,0,0,0,"yes",1,2,0,"2018",NA,"CT","No",447.7,44.4132,-74.000702,NA,732
"1702OHR1069B","1701-0358","_17","Ohrbach Lake",NA,0,0,0,"yes",0,3,0,"2018","yes","B","Yes",8.77,40.588799,-74.123901,NA,1160
"1702SIL1076","1701-0359","_17","Silver Lake Reservoir",NA,0,0,0,"yes",NA,NA,NA,"1999",NA,"AA","No",30.69,40.62325,-74.096163,"needs verification",936
"1701WMI0850","1701-0026","_17","West Millpond",NA,0,0,0,NA,4,0,0,NA,NA,"C","No",13.56,40.808201,-72.834801,"needs verification",732
"0602SHA5677","","_06","Shackham Pond",NA,0,0,0,NA,3,0,0,"2018",NA,"CTS","No",13.2,42.791801,-76.008003,NA,732
"1005PEN0351A","1005-0060","_10","Penfield Pond",NA,0,0,0,NA,3,0,0,"2018",NA,"CT","No",171.7,43.905399,-73.539703,NA,732
"1003LOO0048","1003-0060","_10","Loon Lake",NA,0,0,0,NA,2,2,2,NA,"yes","BT","No",355.4,44.563301,-74.080704,"needs verification",1160
"1701MAI0907","","_17","Main Pond",NA,0,0,0,NA,2,1,0,"2018",NA,"CT","No",16.28,40.751701,-73.147797,NA,732
"0602GLO0040","0602-0080","_06","Glover Pond",NA,0,0,0,NA,1,2,0,"2018",NA,"C","No",36.7,42.492699,-75.953697,NA,732
"1004MIL0318","1004-0091","_10","Mill Pond",NA,0,0,0,NA,0,3,0,"2018",NA,"CT","No",54.7,44.113998,-73.548203,NA,732
"1004RUS0316","1004-0091","_10","Russett Pond",NA,0,0,0,NA,0,3,0,"2018",NA,"CT","No",23.1,44.1161,-73.557198,NA,732
"0601WEA0409","0601-0025","_06","Weaver Lake",NA,0,0,0,NA,0,2,0,"2003",NA,"C","No",85.01,42.853901,-74.931297,"needs verification",732
"1006JAB0394","1006-0030","_10","Jabe Pond",NA,0,0,0,NA,0,1,2,"2018",NA,"AA-S","No",147.5,43.702801,-73.538696,NA,936
"0601ARN0362","0601-0109","_06","Arnold Lake",NA,0,0,0,NA,0,1,1,"2018","yes","BT","No",63.84,42.611401,-75.0047,NA,1160
