Lake Name,Relative Size,Relative Depth,Trophic Status,Brief Summary,LakeID,Surface Area (ac),Number of Years with HABs (2012-2018),Ave Depth (ft),Max Depth (ft),Ownership,PWLID,County,Municipality,Beach Present,Article 24 Wetland ,Bathymetry Source,WQ Monitoring Program,Avg Epi TP (mg/L),Avg Hypo TP (mg/L),Avg Secchi (m),Avg Chl. a (ug/L),Avg Epi TN (mg/L),Avg Hypo TN (mg/L),DEC Region,Waterbody_Classification,Zebra Mussels Present,Potable Water Source,Multiple Years of HABs data,# of 2019 HAB reports,Last date NYHABS 2019,2019 HAB Extent ,2019 HAB SB Reports,2019 HAB OW Reports,Relative Chl.a Rank,Relative epi TP Rank,Relative hypo TP Rank,Relative epi TN  Rank,Relative hypo TN  Rank2,Y_Coordinate,X_Coordinate,Mitigation History,LCI/CSLAP/RAS Report,Notes
Agawam Lake,Small,Shallow,Eutrophic,"shallow, lakewide persistant blooms, Internal loading",1701AGA0815,64,7,10,NA,Town park,1701-0117,Suffolk,Southhampton,N,Yes,None,LCI: 2019,0.12,NA,0.5,110,NA,NA,1,C,N,N,Y,34,10/23/2019,WSLW,28,6,very high,moderate,NA,NA,NA,40.8744011,-72.3921967,AECOM algae harvester,N,NA
Allegheny Reservoir,Very Large,Stratified,Eutrophic,"USACE mangaged, large blooms, impounded river",0201ALL5357,"21,180",8,48,130,Army Corp. ,0201-0023 / 0201-0072,Cattaraugus,Multiple,No,No,None,"LCI: 2006, 07, 17",0.026,0.03,1.5,22,0.51,0.34,9,B,N,N,Y,5,10/10/2019,WSLW,0,0,low,low,low,low,low,41.8087997,-78.919899,,Y,NA
Avon Marsh Dam Pond,Very Small,Shallow,Eutrophic,small shoreline blooms,0402UWB5160,8.3,5,4,9.2,Public (NYSDEC),NA,Livingston,Avon,No,Yes,None,"LCI: 2015, 16",0.15,0.09,1.5,101.3,1.63,0.76,8,B,N,N,Y,2,9/17/2019,SL,0,0,very high,moderate,low,moderate,low,42.9011002,-77.668602,"Dam rebuilt, water lowered",Y,NA
Barnum Pond,Small,Shallow,Eutrophic,Occasional small blooms in otherwise protected ADK lake,0902BAR0262,84,4,5,10,Public (NYSDEC),0902-0158,Franklin,Brighton,No,No,"DEC, Contour","LCI: 2009, 10, 18, 19",0.024,NA,0.7,8.9,0.69,NA,5,CT,N,N,Y,NA,NA,NA,NA,NA,low,low,NA,low,NA,44.4599991,-74.2594986,,N,NA
Bedford Lake,Very Small,Shallow,Eutrophic,"shallow, large localized",1302HOW0127,26,8,4,18,Private,1302-0147,Westchester,Bedford,No,No,None,CSLAP: 2019,0.087,NA,1.1,38.9,1.03,NA,3,B,N,N,Y,2,9/15/2019,OW,0,2,low,low,NA,moderate,NA,41.1948013,-73.7036972,"Annual copper treatments 2015-2018, Aquathol-K ",Y,NA
Chautauqua Lake,Very Large,Stratified,Eutrophic,"Large, persistant blooms",0202CHA0122,5434,8,19,44,Private,"0202-0020, 0202-0072",Chautaqua,Multiple,Yes,Yes,"DEC, Contour",CSLAP: 2019,0.05,0.072,1.9,30.4,0.69,NA,9,A,Y,Y,Y,29,10/28/2019,OW,22,7,low,low,low,low,NA,42.154889,-79.397233,"plant harvesting, Aquathol K and Navigate 2019",Y,NA
Hiawatha Lake,Very Small,Shallow,Eutrophic,"shallow, lakewide persistant blooms",0702HIA0156,5,4,2,5,City of Syracuse,0702-0026,Onondaga,Syracuse,No,No,None,LCI: 2017,0.079,NA,0.4,81.4,2.61,NA,7,C,N,N,Y,1,6/17/2019,WSLW,0,0,high,low,NA,high,NA,43.0257988,-76.1687012,recent capitol project by Syracuse,Y,NA
Kirk Lake,Medium,Shallow,Mesoeutrophic,lakewide blooms,1302KIR0052,122,7,10,23,Private,1302-0080,Putnam,Carmel,No,Yes,None,CSLAP: 2019,0.023,NA,1.7,18.2,0.59,NA,3,B,N,N,Y,2,8/20/2019,SL,2,0,low,low,NA,low,NA,41.385601,-73.7498016,,Y,NA
Kissena Lake,Very Small,Shallow,Eutrophic,"shallow, lakewide persistant blooms, NYC",1702KIS0076,18,7,2,5,NYC Parks,1702-0258,Queens,New York City,No,Yes,"DEC, Contour","LCI: 2014, 2018",0.121,NA,0.5,132,2.31,NA,2,B,N,N,Y,3,9/10/2019,SL,3,0,very high,moderate,NA,high,NA,40.7481003,-73.8054962,,Y,NA
Lake Casse,Very Small,Shallow,Eutrophic,"shallow, lakewide persistant blooms",1302CAS0059B,30,4,NA,11,Private,1302-0100,Putnam,Mahopac,Yes,No,None,LCI: 2018,0.054,NA,0.6,49.6,NA,NA,3,B,N,N,Y,4,7/29/2019,SL,4,0,low,low,NA,NA,NA,41.3862991,-73.7099991,"aeration and fountain system  last 2 years,",N,NA
