row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
1,0101DEL0025,Delaware Park Lake,-78.8703,42.932999,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Delaware%20Park%20Lake(0101DEL0025).html?csf=1&e=Xxz1fg,available
2,0101HYDXXX1,Hyde Park Lake,-79.022324,43.100662,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hyde%20Park%20Lake(0101HYDXXX1).html?csf=1&e=Xxz1fg,available
5,0102AKR0013,Akron Reservoir,-78.35585,42.868655,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Akron%20Reservoir(0102AKR0013).html?csf=1&e=Xxz1fg,available
6,0102ATT0020,Attica Reservoir,-78.25945,42.83261,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Attica%20Reservoir(0102ATT0020).html?csf=1&e=Xxz1fg,available
7,0102ATT0020A,Attica Reservoir,-78.229659,42.78723,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Attica%20Reservoir(0102ATT0020A).html?csf=1&e=Xxz1fg,available
9,0102DIV0015,Divers Lake,-78.39954,43.04089,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Divers%20Lake(0102DIV0015).html?csf=1&e=Xxz1fg,available
11,0102FAU0021A,Faun Lake,-78.289837,42.64061,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Faun%20Lake(0102FAU0021A).html?csf=1&e=Xxz1fg,available
13,0102GOU0016E,Gouinlocks Pond,-78.208225,42.806887,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Gouinlocks%20Pond(0102GOU0016E).html?csf=1&e=Xxz1fg,available
20,0103ORC5454,Orchard Park Reservoir,-78.651851,42.690219,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Orchard%20Park%20Reservoir(0103ORC5454).html?csf=1&e=Xxz1fg,available
26,0104BEA0133,Beaver Lake,-78.398668,42.445659,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Beaver%20Lake(0104BEA0133).html?csf=1&e=Xxz1fg,available
27,0104CLE0100,Clear Lake,-78.852943,42.552907,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Clear%20Lake(0104CLE0100).html?csf=1&e=Xxz1fg,available
29,0104CRY0147,Crystal Lake,-78.343699,42.46314,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Crystal%20Lake(0104CRY0147).html?csf=1&e=Xxz1fg,available
30,0104FRO0128,Frog Pond,-78.481589,42.438671,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Frog%20Pond(0104FRO0128).html?csf=1&e=Xxz1fg,available
31,0104GRE5309,Green Lake,-78.753512,42.757515,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Green%20Lake(0104GRE5309).html?csf=1&e=Xxz1fg,available
32,0104HIR5501,Hiram Lake,-78.336538,42.545542,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hiram%20Lake(0104HIR5501).html?csf=1&e=Xxz1fg,available
34,0104JAV0152,Java Lake,-78.343903,42.631302,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Java%20Lake(0104JAV0152).html?csf=1&e=Xxz1fg,available
35,0104LIM0130,Lime Lake,-78.479202,42.427399,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lime%20Lake(0104LIM0130).html?csf=1&e=Xxz1fg,available
36,0104MOO0146,Moores Pond,-78.343084,42.474566,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Moores%20Pond(0104MOO0146).html?csf=1&e=Xxz1fg,available
38,0104SKI0141,Skim Lake,-78.377238,42.48177,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Skim%20Lake(0104SKI0141).html?csf=1&e=Xxz1fg,available
39,0104SUC0132,Sucker Pond,-78.5032,42.43667,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Sucker%20Pond(0104SUC0132).html?csf=1&e=Xxz1fg,available
40,0104TIM5635,Timber Lake,-78.678703,42.352501,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Timber%20Lake(0104TIM5635).html?csf=1&e=Xxz1fg,available
41,0105BRO0160K,Brocton Reservoir,-79.42637,42.36948,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Brocton%20Reservoir(0105BRO0160K).html?csf=1&e=Xxz1fg,available
42,0105BUR0162,Burr Reservoir,-79.424843,42.364158,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Burr%20Reservoir(0105BUR0162).html?csf=1&e=Xxz1fg,available
43,0105EMU0144,East Mud Lake,-79.09632,42.43353,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_East%20Mud%20Lake(0105EMU0144).html?csf=1&e=Xxz1fg,available
44,0105FRE0160,Fredonia Reservoir,-79.309897,42.395113,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Fredonia%20Reservoir(0105FRE0160).html?csf=1&e=Xxz1fg,available
45,0105MIN0165A,Minton Reservoir,-79.57616,42.29744,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Minton%20Reservoir(0105MIN0165A).html?csf=1&e=Xxz1fg,available
