"LAKE_ID","WATER","basin","PIdrinking","PIrecreation","PIaquatic","eutrophic","mesotrophic","oligotrophic","PWS","Beaches","Classification","ACRES","PWLID","hypo","yrs","CSLAPin2018"
"0402BLU0011","Blue Pond","04",0,2,0,2,16,4,NA,"No","B",16.2,"0402-0079","yes",2,NA
"0402CAN0043","Canadice Lake","04",0,0,0,0,20,20,"Yes","No","AATS",668.7,"0402-0002","yes",2,"yes"
"0402CON0067","Conesus Lake","04",13,6,0,19,53,3,"Yes","Yes","AA",3207.6,"0402-0004","yes",2,"yes"
"0402HEM0044","Hemlock Lake","04",1,0,0,1,67,22,"Yes","No","AAT",2074,"0402-0011","yes",2,"yes"
"0402HON0057","Honeoye Lake","04",21,20,0,55,28,15,"Yes","Yes","AA",1796.6,"0402-0032","yes",5,"yes"
"0402HOR0018","Horseshoe Lake","04",0,0,0,0,4,0,NA,"Yes","B",24.8,"0402-0052",NA,1,NA
"0402LE 0024A","Le Roy Reservoir","04",10,12,0,16,0,0,NA,"No","A",46.6,"0402-0003","yes",1,NA
"0402MIL0016","Mill Pond","04",0,0,7,20,0,0,NA,"No","C",6.1,"0402-0050",NA,2,NA
"0403AMI0159A","Amity Lake","04",0,0,0,12,8,0,NA,"No","C",20.88,"0403-0054",NA,2,NA
"0403AND0164","Andover Pond","04",0,0,4,20,2,0,NA,"No","C",12.46,"",NA,2,NA
"0403FOS0161B","Foster Lake","04",0,0,0,15,6,0,NA,"No","C",26.85,"0403-0055","yes",2,NA
"0403HAN0150A","Hanging Bog","04",0,0,0,19,1,0,NA,"No","C",28.67,"0403-0076",NA,2,NA
"0403MOS0144","Moss Lake","04",0,0,0,20,0,0,NA,"No","C",15.24,"0403-0052",NA,2,NA
"0403RUS0146","Rushford Lake","04",0,0,0,4,32,23,NA,"Yes","BT",572.26,"0403-0024","yes",4,"yes"
"0403SIL0115","Silver Lake","04",60,74,3,137,84,7,"Yes","No","A",832.09,"0403-0002","yes",10,"yes"
"0403SPR0142","Spring Lake","04",0,0,0,2,0,0,NA,"No","C",25.79,"0403-0051",NA,NA,NA
"0403UWB0124A","Trout Pond","04",0,0,0,1,4,1,NA,"No","BT",1.83,"",NA,1,NA
"0403UWB5243","Unnamed Water","04",0,0,0,5,1,0,NA,"No","C",1.24,"",NA,1,NA
"0404LOO0079","Loon Lake","04",0,4,1,44,235,95,NA,"No","B",163.28,"0502-0039","yes",16,"yes"
"0404NUN0084A","Nunda Reservoir","04",4,3,0,10,10,0,"Yes","No","A",5.99,"0404-0030","yes",2,NA
"0902ALL5147","Allen Falls Reservoir","09",0,3,0,11,6,0,NA,"No","B",97.47,"0902-0111",NA,2,NA
"0902BAR0262","Barnum Pond","09",0,0,0,16,2,0,NA,"No","CT",90.98,"0902-0158",NA,2,NA
"0902BOY0085A","Boy Scout Clear Pond","09",0,0,0,0,4,1,NA,"No","B",79.89,"0902-0107","yes",1,NA
"0902EAG0083","Eagle Pond","09",0,0,1,84,61,65,NA,"No","C",40.29,"0902-0104","yes",9,"yes"
"0902HOR0078","Horseshoe Pond","09",0,0,1,149,156,31,NA,"No","C",26.56,"0902-0104","yes",15,NA
"0902IND0051","Indian Lake","09",0,0,0,0,0,2,NA,"Yes","BT",330.5,"0902-0030",NA,1,NA
"0902LAM5101","Lamica Lake","09",0,0,0,3,1,0,NA,"No","CT",15.9,"0902-0087",NA,1,NA
"0902LCH0006","Lower Chateaugay Lake","09",0,0,0,0,6,0,NA,"No","BT",543.3,"0902-0056",NA,NA,NA
"0902LSA0257A","Lower Saint Regis Lake","09",0,1,0,3,19,0,NA,"Yes","B",373.91,"0902-0157","yes",2,NA
"0902MOU0050","Mountain View Lake","09",0,3,0,3,4,0,NA,"No","BT",234.7,"0902-0030",NA,NA,NA
"0902OSG0202","Osgood Pond","09",2,0,0,3,8,0,NA,"Yes","AA",511.52,"0902-0148",NA,1,NA
"0902RIC0178","Rice Lake","09",0,0,0,0,4,0,NA,"No","C",134.24,"0902-0144",NA,1,NA
"0902SPI0264","Spitfire Lake","09",0,0,0,0,13,16,NA,"No","AA",270.56,"0902-0157","yes",2,NA
"0902TIT0028","Lake Titus","09",0,0,0,1,16,0,NA,"Yes","BT",431.4,"0902-0036",NA,1,NA
"0902USA0265","Upper Saint Regis Lake","09",4,0,0,2,33,12,NA,"No","AA",707.63,"0902-0159","yes",2,NA
"0902WOL0065","Wolf Pond","09",0,0,0,0,6,0,NA,"No","B",41.1,"0902-0006","yes",1,NA
"0903BLA0029A","Blake Falls Reservoir","09",0,0,0,0,2,2,NA,"Yes","B",640.35,"0903-0072","yes",1,NA
"0903EAG0080","Eagle Crag Lake","09",4,0,2,1,38,63,NA,"No","AT",143.58,"0903-0114","yes",5,NA
"0903EAT0248","Lake Eaton","09",1,0,0,0,8,9,NA,"No","AAT",567.96,"0903-0056","yes",1,NA
"0903HIG0007","Higley Falls Reservoir","09",0,0,0,0,3,1,NA,"No","B",595.24,"0903-0067",NA,1,NA
"0903HIT0144","Hitchins Pond","09",0,0,0,0,1,1,NA,"No","CT",240.48,"0903-0145",NA,NA,NA
"0903LTU0120","Little Tupper Lake","09",0,0,3,0,2,2,NA,"No","C",2289.84,"0903-0131","yes",1,NA
