"Lake.Name","Relative.Size","Relative.Depth","Trophic.Status","Mitigation.History","Brief.Summary","habsyrs"
"Allegheny Reservoir","Very Large","Stratified","Eutrophic","","USACE mangaged, large blooms, impounded river",8
"Chautauqua Lake","Very Large","Stratified","Eutrophic","plant harvesting, Aquathol K and Navigate 2019","Large, persistant blooms",8
"Skaneateles Lake","Very Large","Stratified","Oligotrophic","historical in lake copper","small shoreline blooms",3
"Lake Neatahwanta","Large","Shallow","Eutrophic","Dredged","shallow, dense large blooms",8
"Putnam Lake","Large","Stratified","Eutrophic","water chestnut harvest 13, annual cutrine plus trtmt 14-18","HAB 12, lakewide blooms",7
"Orange Lake","Large","Stratified","Eutrophic","","deeper, lakewide persistant blooms",8
"Rockland Lake","Large","Stratified","Eutrophic","","Deep, internal loading, OPR, unknown HAB extent",8
"Lake Oscawana","Large","Stratified","Mesoeutrophic","dredged","Internal loading",0
"Nassau Lake","Medium","Shallow","Eutrophic","long history of copper use","shallow, lakewide blooms, Internal loading",7
"Kirk Lake","Medium","Shallow","Mesoeutrophic","","lakewide blooms",7
"Sturgeon Pool","Medium","Stratified","Eutrophic","","deep, small localized blooms, Wallkill system, Internal loading",2
"Lake Waccabuc","Medium","Stratified","Mesoeutrophic","fish stocking 15-18, aquathrusters 18","small shoreline blooms, Internal loading",5
"Song Lake","Medium","Stratified","Mesotrophic","","Mesotrophic, small shoreline blooms, Internal loading",8
"Barnum Pond","Small","Shallow","Eutrophic","","Occasional small blooms in otherwise protected ADK lake",4
"Agawam Lake","Small","Shallow","Eutrophic","AECOM algae harvester","shallow, lakewide persistant blooms, Internal loading",7
"Lake Peekskill","Small","Stratified","Mesoeutrophic","carp '98, SIS bio reoxygenation/destrat and enzyme additive","small shoreline blooms, Internal loading",7
"Hiawatha Lake","Very Small","Shallow","Eutrophic","recent capitol project by Syracuse","shallow, lakewide persistant blooms",4
"Lake Casse","Very Small","Shallow","Eutrophic","aeration and fountain system  last 2 years,","shallow, lakewide persistant blooms",4
"Washington Park Lake","Very Small","Shallow","Eutrophic","fountains, copper, dredging history","shallow, lakewide persistant blooms",4
"Avon Marsh Dam Pond","Very Small","Shallow","Eutrophic","Dam rebuilt, water lowered","small shoreline blooms",5
"Lake Lincolndale","Very Small","Shallow","Eutrophic","","shallow, lakewide persistant blooms",6
"Old Town Pond","Very Small","Shallow","Eutrophic","","shallow, unknown HAB extent",6
"Kissena Lake","Very Small","Shallow","Eutrophic","","shallow, lakewide persistant blooms, NYC",7
"Prospect Park Lake","Very Small","Shallow","Eutrophic","EcoWeir","shallow, lakewide persistant , NYC",7
"The Lake in Central Park","Very Small","Shallow","Eutrophic","","shallow, lakewide persistant blooms, NYC",7
"Bedford Lake","Very Small","Shallow","Eutrophic","Annual copper treatments 2015-2018, Aquathol-K ","shallow, large localized",8
"Maratooka Lake","Very Small","Stratified","Eutrophic","","Internal loading",7
"Smith Pond","Very Small","Stratified","Eutrophic","weed cutter05, weed harvesting 04","shallow, lakewide persistant blooms, Internal loading",7
"Laurel Lake","Very Small","Stratified","Mesoeutrophic","","Internal loading",8
"Oneida River, Main stem",NA,"River",NA,"","small shoreline blooms",3
"Wallkill River, Lower Main Stem",NA,"River",NA,"","river, extensive blooms only in 2016",3
