"LAKE_ID","WATER","html","X_Coordinate","Y_Coordinate"
"0101DEL0025","Delaware Park Lake","report_Delaware Park Lake(0101DEL0025).html",-78.87043,42.93306
"0101HYDXXX1","Hyde Park Lake","report_Hyde Park Lake(0101HYDXXX1).html",-79.02356,43.096161
"0101JOEXXX1","Joseph Davis Pond","report_Joseph Davis Pond(0101JOEXXX1).html",-79.0446,43.213503
"0101OPP5774","Oppenheim Park Pond","report_Oppenheim Park Pond(0101OPP5774).html",-78.903315,43.093615
"0102AKR0013","Akron Reservoir","report_Akron Reservoir(0102AKR0013).html",-78.356565,42.869695
"0102ATT0020","Attica Reservoir","report_Attica Reservoir(0102ATT0020).html",-78.25945,42.83261
"0102ATT0020A","Attica Reservoir","report_Attica Reservoir(0102ATT0020A).html",-78.229659,42.78723
"0102DAN5777","Dann Lake","report_Dann Lake(0102DAN5777).html",-78.705891,43.060355
"0102DIV0015","Divers Lake","report_Divers Lake(0102DIV0015).html",-78.39954,43.04089
"0102ELLXXX1","Ellicott Creek","report_Ellicott Creek(0102ELLXXX1).html",-78.822257,43.02476
"0102FAU0021A","Faun Lake","report_Faun Lake(0102FAU0021A).html",-78.289837,42.64061
"0102FORXXX1","Forest Lake","report_Forest Lake(0102FORXXX1).html",-78.826684,43.064198
"0102GOU0016E","Gouinlocks Pond","report_Gouinlocks Pond(0102GOU0016E).html",-78.208225,42.806887
"0102HAR5128","Harlow Lake","report_Harlow Lake(0102HAR5128).html",-78.430702,42.905201
"0102LA 5022","Lake La Salle","report_Lake La Salle(0102LA 5022).html",-78.781197,43.004299
"0102TONXXX1","Tonawanda Creek","report_Tonawanda Creek(0102TONXXX1).html",-78.710031,43.082244
"0103CAYXXX1","Cayuga Creek","report_Cayuga Creek(0103CAYXXX1).html",-78.78346,42.871253
"0103KNOXXX1","Knox Farm Pond 3","report_Knox Farm Pond 3(0103KNOXXX1).html",-78.64171,42.768771
"0103KNOXXX2","Knox Farm Pond 4","report_Knox Farm Pond 4(0103KNOXXX2).html",-78.654596,42.77487
"0103ORC5454","Orchard Park Reservoir","report_Orchard Park Reservoir(0103ORC5454).html",-78.651851,42.690219
"0103UWB5320","Unnamed Water","report_Unnamed Water(0103UWB5320).html",-78.638397,42.769501
"0103UWB5321","Unnamed Water","report_Unnamed Water(0103UWB5321).html",-78.641296,42.771999
"0103UWB5338","Unnamed Water","report_Unnamed Water(0103UWB5338).html",-78.831902,42.830502
"0103UWB5343","Lake Kristy (Tifft Nature Preserve)","report_Lake Kristy (Tifft Nature Preserve)(0103UWB5343).html",-78.859325,42.84717
"0103UWB5480","Unnamed Water","report_Unnamed Water(0103UWB5480).html",-78.381349,42.673909
"0104BEA0133","Beaver Lake","report_Beaver Lake(0104BEA0133).html",-78.398668,42.445659
"0104CLE0100","Clear Lake","report_Clear Lake(0104CLE0100).html",-78.852943,42.552907
"0104CRA5666","Crandall Pond","report_Crandall Pond(0104CRA5666).html",-78.6535,42.3926
"0104CRY0147","Crystal Lake","report_Crystal Lake(0104CRY0147).html",-78.343699,42.46314
"0104FRO0128","Frog Pond","report_Frog Pond(0104FRO0128).html",-78.481589,42.438671
"0104GRE5309","Green Lake","report_Green Lake(0104GRE5309).html",-78.753512,42.757515
"0104HIR5501","Hiram Lake","report_Hiram Lake(0104HIR5501).html",-78.336538,42.545542
"0104HOL5678","Holcomb Pond","report_Holcomb Pond(0104HOL5678).html",-78.861541,42.447919
"0104JAV0152","Java Lake","report_Java Lake(0104JAV0152).html",-78.346897,42.633427
"0104LIM0130","Lime Lake","report_Lime Lake(0104LIM0130).html",-78.47981,42.42927
"0104MOO0146","Moores Pond","report_Moores Pond(0104MOO0146).html",-78.343084,42.474566
"0104RAI5630","Rainbow Lake","report_Rainbow Lake(0104RAI5630).html",-78.69767,42.35233
"0104SKI0141","Skim Lake","report_Skim Lake(0104SKI0141).html",-78.377238,42.48177
"0104SUC0132","Sucker Pond","report_Sucker Pond(0104SUC0132).html",-78.5032,42.43667
