LakeID,Y_Coordinate,X_Coordinate
0402BLAXXX1,43.0945,-77.6800
1104ACK0311,43.6361,-74.2857
1104ADI0587A,43.7900,-74.2624
1104ADJ0692A,43.9929,-74.2259
1301ADO0204B,41.3861,-73.9853
0601AFT0180,42.2392,-75.5107
1701AGA0815,40.8744,-72.3922
0503AGT5287,42.2672,-77.8197
0603AGW5136,42.0328,-75.9428
1104AIR0254,43.4441,-74.4522
1701AIR0743,41.0636,-72.0963
0102AKR0013,42.8675,-78.3576
1104ALB0138,43.1873,-74.0247
0301ALB0166H,43.2273,-78.2507
1701ALC0832,40.8368,-72.5892
1301ALC0185,42.4769,-73.9376
0303ALD5064,43.6600,-75.7834
1203ALD0853,43.3641,-74.6560
1403ALD0346,42.0484,-74.6763
0801ALD0935,43.4355,-75.2128
1104ALD0420,43.8513,-73.6678
1203ALE0891,43.4820,-74.6764
1303ALE0222D,41.4052,-74.0149
1701ALE0726,41.0329,-72.2305
0603ALE5275,42.2295,-76.2019
0801ALE0655,43.7179,-75.5614
1003ALF0096,44.2615,-74.0366
0201ALL5357,42.0560,-78.8907
0902ALL5147,44.6304,-74.8351
0403ALL5341,42.3852,-78.0667
0601ALL0405,42.8295,-74.9517
0904ALL0343,44.3438,-74.9996
0601ALL0194,42.5641,-75.3058
1104ALL5380,43.6788,-73.8275
0201ALM5535,42.0141,-78.0014
0503ALM0029C,42.3464,-77.7124
1101ALP5136,43.2110,-73.8361
1311ALT0276B,42.6855,-74.0743
0903ALU0315,43.7689,-74.5263
1302AMA0050,41.2915,-73.7552
1403AMB0336,41.9495,-74.8594
1401AMB0118,41.6886,-74.8487
0903AMB0041,44.3992,-74.6197
1203AMB0889,43.4788,-74.6830
1301AMB0150M,41.2488,-74.0147
1501AMD1017F,41.3542,-74.1652
0403AMI0159A,42.2190,-77.9892
1203AMO0907,43.5025,-74.6183
0903AMP0202,44.2094,-74.1941
1003AMP0131,44.3086,-74.3679
1201AMS0546,42.9512,-74.1821
1402ANA0041,41.7003,-74.6760
0403AND0164,42.1656,-77.7936
0403AND5497,42.1727,-77.7935
1104AND0376,43.7399,-73.8191
1201ANN0496,42.7379,-73.8130
0703ANN5235,43.3461,-75.6672
0903ANT0126,44.0032,-74.6226
1104ANT5423,43.6550,-73.9302
0903ARB0011,44.5161,-74.9199
1702ARB1051,40.5221,-74.1779
1104ARB0684,43.9869,-74.2413
1104ARC0144,43.1583,-73.9609
1404ARC5574,42.1793,-75.4252
1302ARL5219,41.4405,-73.6478
0601ARN0362,42.6114,-75.0047
1104ARN0437A,43.8804,-73.6210
0902ARQ0103A,44.5107,-74.6038
1702ARR0356A,40.9612,-72.7707
1601ARR1123A,41.8526,-73.5605
1303ART0222E,41.3976,-74.0196
1701ART0863,40.8837,-72.9317
1104ASH0497,44.1051,-73.6193
0905ASH0326,44.1013,-74.8286
1104ASH0154,43.0771,-74.3503
0602ASH5470,42.4922,-75.8120
0906ASH0047A,44.0311,-75.4690
1307ASH0848,41.9472,-74.2286
