"selected_LT","CSLAPin2018","LAKE_ID","ReachCode","basin","US_L3CODE","yrs_sampled","ACRES","PWS","Classification","bloom","forest_wetland","Mean_Imperviousness","eutrophic","mesotrophic","oligotrophic","cost"
"x","yes","0402HON0057","04130003001267",4,60,8,1796.6,"Yes","AA",NA,76.969487,0.284024,55,28,15,304
"x","yes","0403SIL0115","04130002001356",4,60,14,832.09,"Yes","A",NA,23.306941,0.759587,137,84,7,304
"x","yes","0404LOO0079","04130002005274",4,60,18,163.28,NA,"B",NA,49.408926,0.651487,44,235,95,236.5
"x","yes","0402CON0067","04130003001262",4,83,6,3207.6,"Yes","AA",NA,40.659025,0.775755,19,53,3,304
"x","yes","0906BON0024","04150303002332",9,58,13,1242.3,NA,"B",NA,94.95063,0.056199,2,130,159,236.5
"x","yes","0904SIL0351","04150304000849",9,58,16,113.2,NA,"CT",NA,95.86682,0.14076,12,253,73,236.5
"x","yes","0902EAG0083","04150306001198",9,58,12,40.29,NA,"C",NA,96.943231,0.006667,84,61,65,236.5
NA,NA,"0902HOR0078","04150306001199",9,58,16,26.56,NA,"C",NA,91.672091,0.446501,149,156,31,236.5
"x","yes","0906BLA0001","04150303001947",9,83,18,7747.6,NA,"B",NA,69.23546,0.557176,305,98,10,236.5
"x","yes","0906BUT0054","04150303000595",9,83,17,969.6,NA,"B",NA,76.587646,0.334066,164,327,49,236.5
"x","yes","0906MIL0055","04150303000596",9,83,18,473.9,NA,"B",NA,88.217142,0.059911,3,93,297,236.5
NA,"yes","0906GRA0051","04150303000590",9,83,14,316.2,NA,"C",NA,94.917607,0.009646,31,181,75,236.5
NA,"yes","0906OTH0009","04150303000591",9,83,10,168.4,NA,"C",NA,84.88372,0.049824,1,17,174,236.5
NA,"yes","0906SIX0056","04150303000602",9,83,8,123.8,NA,"B",NA,82.770998,0.138643,1,10,147,236.5
"x","yes","1402PLE0045","02040104002114",14,60,6,204.1,NA,"B",NA,79.672628,3.030177,59,46,0,236.5
"x","yes","1404OQU0383","02040101001304",14,60,17,133.1,NA,"AA",NA,90.171882,0.154915,1,11,363,304
"x","yes","1401SOM0268","02040101001343",14,60,17,58,NA,"B",NA,83.076923,0.064286,6,191,178,236.5
NA,"yes","1401ANA0251","02040101001349",14,60,18,40.2,NA,"BT",NA,98.005698,0.043182,1,68,314,236.5
NA,"yes","1404DEE0389","02040101001299",14,60,12,30.7,NA,"B",NA,95.977011,0.05815,224,36,4,236.5
NA,"yes","1401STU0245","02040101001357",14,60,14,22.6,NA,"BT",NA,85.14716,0.060305,200,47,26,236.5
"x","yes","1402YAN0021","02040104002183",14,62,12,395.3,NA,"C",NA,90.763897,0.848592,21,191,24,236.5
"x",NA,"1402WOL0037","02040104002195",14,62,6,284.5,NA,"B",NA,99.616858,0.017142,43,91,10,236.5
NA,"yes","1401MON0186","02040104002280",14,62,7,19.6,NA,"B",NA,98.632479,0.023845,24,72,20,236.5
