"SAMPLE_NAME","LAKE_ID","SAMPLE_ID","LOCATION_ID","SAMPLE_DATE","TIME","START_DEPTH","END_DEPTH","Characteristic.Name","Result.Value","Result.Unit","Result.Sample.Fraction","VALIDATOR_QUALIFIERS","INTERPRETED_QUALIFIERS","Depth","WATER","Waterbody_Classification","INFO_TYPE","DATA_PROVIDER"
"18BLK001","0801BUG0789",59133,"0801BUG0789_DH",2018-06-27,"9:45 AM",".05","15.02","DISK, SECCHI DISK DEPTH",4.75,"m",NA,NA,"",NA,"Bug Lake","AAT","DP","LCI"
"18BLK001","0801BUG0789",59133,"0801BUG0789_DH",2018-06-27,"9:45 AM",".05","15.02","DISK, SECCHI DISK DEPTH",4.75,"m",NA,NA,"",NA,"Bug Lake","AAT","OW","LCI"
"18BLK001_SD","0801BUG0789",58797,"0801BUG0789_DH",2018-06-27,"9:45 AM","","","DISK, SECCHI DISK DEPTH",4.75,"m",NA,NA,"",NA,"Bug Lake","AAT","SD","LCI"
"18BLK003","0801EIG0790",59122,"0801EIG0790_DH",2018-06-27,"12:00 PM",".04","14.82","DISK, SECCHI DISK DEPTH",4.7,"m",NA,NA,"",NA,"Eighth Lake","AT","DP","LCI"
"18BLK003","0801EIG0790",59122,"0801EIG0790_DH",2018-06-27,"12:00 PM",".04","14.82","DISK, SECCHI DISK DEPTH",4.7,"m",NA,NA,"",NA,"Eighth Lake","AT","OW","LCI"
"18BLK003_SD","0801EIG0790",58798,"0801EIG0790_DH",2018-06-27,"12:00 PM","","","DISK, SECCHI DISK DEPTH",4.7,"m",NA,NA,"",NA,"Eighth Lake","AT","SD","LCI"
"18BLK005","0801LON0922",59160,"0801LON0922_DH",2018-06-26,"12:30 PM",".08","7.46","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Long Lake","CT","OW","LCI"
"18BLK005_SD","0801LON0922",58799,"0801LON0922_DH",2018-06-26,"12:30 PM","","","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Long Lake","CT","SD","LCI"
"18BLK007","0903LBR0316",59108,"0903LBR0316_DH",2018-06-27,"1:50 PM",".02","4.96","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","OW","LCI"
"18BLK007_SD","0903LBR0316",58800,"0903LBR0316_DH",2018-06-27,"1:50 PM","","","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","SD","LCI"
"18BLK011","0801WHE5670",58996,"0801WHE5670_DH",2018-06-26,"10:50 AM","0","2","DISK, SECCHI DISK DEPTH",1.1,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","OW","LCI"
"18BLK011_SD","0801WHE5670",58801,"0801WHE5670_DH",2018-06-26,"10:50 AM","","","DISK, SECCHI DISK DEPTH",1.1,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","SD","LCI"
"18BLK013","0801WOO0982",59106,"0801WOO0982_DH",2018-06-26,"2:20 PM",".01","18.29","DISK, SECCHI DISK DEPTH",4.1,"m",NA,NA,"",NA,"Woodhull Lake","BT","OW","LCI"
"18BLK013","0801WOO0982",59106,"0801WOO0982_DH",2018-06-26,"2:20 PM",".01","18.29","DISK, SECCHI DISK DEPTH",4.1,"m",NA,NA,"",NA,"Woodhull Lake","BT","DP","LCI"
"18BLK013_SD","0801WOO0982",58802,"0801WOO0982_DH",2018-06-26,"2:20 PM","","","DISK, SECCHI DISK DEPTH",4.1,"m",NA,NA,"",NA,"Woodhull Lake","BT","SD","LCI"
"18BLK101","0801BUG0789",59149,"0801BUG0789_DH",2018-07-24,"8:30 AM",".06","20.05","DISK, SECCHI DISK DEPTH",5.6,"m",NA,NA,"",NA,"Bug Lake","AAT","OW","LCI"
"18BLK101_SD","0801BUG0789",58803,"0801BUG0789_DH",2018-07-24,"8:30 AM","","","DISK, SECCHI DISK DEPTH",5.6,"m",NA,NA,"",NA,"Bug Lake","AAT","SD","LCI"
"18BLK103","0801EIG0790",59161,"0801EIG0790_DH",2018-07-24,"10:50 AM",".08","23.4","DISK, SECCHI DISK DEPTH",3.6,"m",NA,NA,"",NA,"Eighth Lake","AT","OW","LCI"
"18BLK103_SD","0801EIG0790",58804,"0801EIG0790_DH",2018-07-24,"10:50 AM","","","DISK, SECCHI DISK DEPTH",3.6,"m",NA,NA,"",NA,"Eighth Lake","AT","SD","LCI"
"18BLK105","0801LON0922",59123,"0801LON0922_DH",2018-07-23,"12:50 PM",".04","7.03","DISK, SECCHI DISK DEPTH",2.9,"m",NA,NA,"",NA,"Long Lake","CT","OW","LCI"
"18BLK105_SD","0801LON0922",58805,"0801LON0922_DH",2018-07-23,"12:50 PM","","","DISK, SECCHI DISK DEPTH",2.9,"m",NA,NA,"",NA,"Long Lake","CT","SD","LCI"
"18BLK107","0903LBR0316",59109,"0903LBR0316_DH",2018-07-24,"2:17 PM",".02","8.77","DISK, SECCHI DISK DEPTH",2,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","OW","LCI"
"18BLK107_SD","0903LBR0316",58806,"0903LBR0316_DH",2018-07-24,"2:17 PM","","","DISK, SECCHI DISK DEPTH",2,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","SD","LCI"
"18BLK111","0801WHE5670",59117,"0801WHE5670_DH",2018-07-23,"10:30 AM",".03","2.0299999999999998","DISK, SECCHI DISK DEPTH",1.2,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","OW","LCI"
"18BLK111_SD","0801WHE5670",58807,"0801WHE5670_DH",2018-07-23,"10:30 AM","","","DISK, SECCHI DISK DEPTH",1.2,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","SD","LCI"
"18BLK113","0801WOO0982",59162,"0801WOO0982_DH",2018-07-23,"3:20 PM",".08","17.36","DISK, SECCHI DISK DEPTH",3.5,"m",NA,NA,"",NA,"Woodhull Lake","BT","OW","LCI"
"18BLK113_SD","0801WOO0982",58808,"0801WOO0982_DH",2018-07-23,"3:20 PM","","","DISK, SECCHI DISK DEPTH",3.5,"m",NA,NA,"",NA,"Woodhull Lake","BT","SD","LCI"
"18BLK201","0801BUG0789",59164,"0801BUG0789_DH",2018-08-22,"9:15 AM",".1","21","DISK, SECCHI DISK DEPTH",4.4,"m",NA,NA,"",NA,"Bug Lake","AAT","OW","LCI"
"18BLK201_SD","0801BUG0789",58809,"0801BUG0789_DH",2018-08-22,"9:15 AM","","","DISK, SECCHI DISK DEPTH",4.4,"m",NA,NA,"",NA,"Bug Lake","AAT","SD","LCI"
"18BLK203","0801EIG0790",59165,"0801EIG0790_DH",2018-08-22,"12:30 PM",".1","22.8","DISK, SECCHI DISK DEPTH",5.1,"m",NA,NA,"",NA,"Eighth Lake","AT","OW","LCI"
"18BLK203_SD","0801EIG0790",58810,"0801EIG0790_DH",2018-08-22,"12:30 PM","","","DISK, SECCHI DISK DEPTH",5.1,"m",NA,NA,"",NA,"Eighth Lake","AT","SD","LCI"
"18BLK205","0801LON0922",59166,"0801LON0922_DH",2018-08-21,"12:10 PM",".1","7","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Long Lake","CT","OW","LCI"
"18BLK205_SD","0801LON0922",58811,"0801LON0922_DH",2018-08-21,"12:10 PM","","","DISK, SECCHI DISK DEPTH",2.8,"m",NA,NA,"",NA,"Long Lake","CT","SD","LCI"
"18BLK207","0903LBR0316",59167,"0903LBR0316_DH",2018-08-22,"2:50 PM",".1","6.8","DISK, SECCHI DISK DEPTH",2.5,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","OW","LCI"
"18BLK207_SD","0903LBR0316",58812,"0903LBR0316_DH",2018-08-22,"2:50 PM","","","DISK, SECCHI DISK DEPTH",2.5,"m",NA,NA,"",NA,"Lower Browns Tract Pond"," ","SD","LCI"
"18BLK211","0801WHE5670",59168,"0801WHE5670_DH",2018-08-21,"10:00 AM",".1","3","DISK, SECCHI DISK DEPTH",1.1,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","OW","LCI"
"18BLK211_SD","0801WHE5670",58813,"0801WHE5670_DH",2018-08-21,"10:00 AM","","","DISK, SECCHI DISK DEPTH",1.1,"m",NA,NA,"",NA,"Whetstone Marsh Pond","BT","SD","LCI"
"18BLK213","0801WOO0982",59169,"0801WOO0982_DH",2018-08-21,"2:30 PM",".1","17.600000000000001","DISK, SECCHI DISK DEPTH",4.2,"m",NA,NA,"",NA,"Woodhull Lake","BT","OW","LCI"
"18BLK213_SD","0801WOO0982",58814,"0801WOO0982_DH",2018-08-21,"2:30 PM","","","DISK, SECCHI DISK DEPTH",4.2,"m",NA,NA,"",NA,"Woodhull Lake","BT","SD","LCI"
"18BLK301","0801BUG0789",59170,"0801BUG0789_DH",2018-09-17,"10:40 AM",".1","24","DISK, SECCHI DISK DEPTH",5.6,"m",NA,NA,"",NA,"Bug Lake","AAT","OW","LCI"
