SAMPLE_NAME,Characteristic Name,resultvalue,resultunit,labnamecode,Lab Sample Name,,,,,,,,
18-100-01,Chlorophyll a (probe relative fluorescence),2.70,µg/L,UFI,2018163020,,,,,,,,
18-100-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.40,µg/L,UFI,2018163020,,,,,,,,
18-100-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.90,µg/L,UFI,2018163020,,,,,,,,
18-100-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.40,µg/L,UFI,2018163020,,,,,,,,
18-100-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018163020,,,,,,,,
18-100-02,Chlorophyll a (probe relative fluorescence),5.20,µg/L,UFI,2018184045,,,,,,,,
18-100-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.50,µg/L,UFI,2018184045,,,,,,,,
18-100-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.30,µg/L,UFI,2018184045,,,,,,,,
18-100-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.30,µg/L,UFI,2018184045,,,,,,,,
18-100-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.10,µg/L,UFI,2018184045,,,,,,,,
18-100-03,Chlorophyll a (probe relative fluorescence),2.90,µg/L,UFI,2018200003,,,,,,,,
18-100-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.80,µg/L,UFI,2018200003,,,,,,,,
18-100-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.80,µg/L,UFI,2018200003,,,,,,,,
18-100-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.30,µg/L,UFI,2018200003,,,,,,,,
18-100-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018200003,,,,,,,,
18-100-04,Chlorophyll a (probe relative fluorescence),3.00,µg/L,UFI,2018212044,,,,,,,,
18-100-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.50,µg/L,UFI,2018212044,,,,,,,,
