"LakeID","BasNumber","ReachCode","GNIS_Name","Water","PWS","bloom","anthroLoad","totalLoad","WBCATGRY","MGMTSTAT","ACRES","Beach","PWL_ID","sampled","Classification","cost"
"1402UWB0038B",14,"02040104002170"," ","Unnamed Water",NA,NA,418.095,426.209,"","",9.7188118813,"No"," ","0","B",236.5
"1401MON0096A",14,"02040104002243","Mongaup Falls Reservoir","Mongaup Falls Reservoir",NA,NA,404.597,482.929,"UnAssessed","",106.441,"No","1401-0075","2004","B",236.5
" ",4,"04130003004093"," "," ",NA,NA,317.871,328.188,"","",11.1005," "," ","0",NA,236.5
"0403UWB5456",4,"04130002001482"," ","Unnamed Water",NA,NA,265.734,405.204,"","",11.7075,"No"," ","0",NA,236.5
" ",4,"04130003003030"," "," ",NA,NA,259.828,275.707,"","",9.16139563053," "," ","0",NA,236.5
"1401BIR0109",14,"02040104002200","Crescent Lake","Birchwood Pond",NA,NA,239.984,247.64,"","",19.8468,"No"," ","0","B",236.5
"0903SOU0017A",9,"04150305001254","South Colton Reservoir","South Colton Reservoir",NA,NA,202.234,441.241,"UnAssessed","",226.603199707,"No","0903-0068","0","B",236.5
"0403WET0133",4,"04130002001367"," ","Wethersfield Pond",NA,NA,169.363,197.959,"UnAssessed","UnAssessed",8.97775282225,"No","0403-0049","0","A",304
"0905UWB5084",9,"04150302001433"," ","Unnamed Water",NA,NA,164.682,216.115,"","",31.1645722887,"No"," ","0","C",236.5
"0901UWB5237",9,"04150310001084"," ","Unnamed Water",NA,NA,155.277,194.576,"","",14.385457171,"No"," ","0",NA,236.5
"0901UWB0385",9,"04150309001132"," ","Unnamed Water",NA,NA,151.444,183.096,"","",16.3942828141,"No"," ","0","D",236.5
" ",14,"02040104002162"," "," ",NA,NA,122.257,200.962,"","",7.62645849731," "," ","0",NA,236.5
"0906REM0014",9,"04150303001953","Saint James Lake","Remington Pond",NA,NA,119.534,125.352,"UnAssessed","",19.0612468896,"No","0906-0044","0","CT",236.5
" ",4,"04130003004100"," "," ",NA,NA,114.56,122.551,"","",9.34077679779," "," ","0",NA,236.5
"0404UWB0098A",4,"04130002001387"," ","Unnamed Water",NA,NA,111.889,114.476,"","",46.9577,"No"," ","0","C",236.5
" ",4,"04130003001241","Log Pond"," ",NA,NA,109.896,112.857,"","",17.2768," "," ","0",NA,236.5
"0402HOR0061",4,"04130003001250","Horseshoe Pond","Horseshoe Pond",NA,NA,107.174,108.69,"UnAssessed","UnAssessed",27.3235,"No","0402-0065","0","C",236.5
"0402GOD0017",4,"04130003001236","Godfrey Pond","Godfrey Pond",NA,NA,97.9248,101.055,"UnAssessed","UnAssessed",26.8963,"Yes","0402-0051","0","B",236.5
