"selected_ref","CSLAPin2018","ReachCode","LAKE_ID","basin","ACRES","forest_wetland","yrs_sampled","US_L3CODE","US_L4CODE","eutrophic","mesotrophic","oligotrophic","cost"
NA,"yes","04130003001267","0402HON0057",4,1796.6,76.969487,5,60,"60d",55,28,15,304
"x",NA,"04150305001308"," ",9,909.033976291,97.773153,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001529","0903BRA0277",9,882.295909593,96.890384,NA,58,"58aa",NA,NA,NA,236.5
"x",NA,"04150305004968","0903SIM0180",9,779.01,100,1,58,"58aa",0,2,2,236.5
NA,NA,"04150305001369","0903FOL0186",9,722.340077446,98.57343,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"04150302006330","0905UWB5265",9,715.627717641,98.231137,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150306002952","0902USA0265",9,707.63,96.155087,2,58,"58ad",2,33,12,304
"x","yes","04130003001277","0402CAN0043",4,668.7,82.014366,2,60,"60d",0,20,20,304
NA,NA,"04150305004978","0903STA0035B",9,644.6,95.818488,1,58,"58ab",0,2,2,236.5
NA,NA,"04150305001565","0903BLA0029A",9,640.35,95.853557,1,58,"58ab",0,2,2,236.5
NA,NA,"04150305004965"," ",9,618.618848493,96.651951,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001261","0903HIG0007",9,595.24,95.722505,1,58,"58ab",0,3,1,236.5
NA,NA,"04150305001493","0903EAT0248",9,567.96,96.551374,1,58,"58ad",0,8,9,304
NA,NA,"04150307000863","0902TIT0028",9,435.603407385,95.788735,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150307000863","0902TIT0028",9,431.4,95.788735,1,58,"58ab",1,16,0,236.5
NA,NA,"04150306001348","0902SAI0156A",9,387.357913185,99.542245,NA,58,"58ad",NA,NA,NA,236.5
"x",NA,"04150304003156","0904TRO0293",9,370.419657624,97.981332,NA,83,"83e",NA,NA,NA,236.5
NA,NA,"04150303000601","0906RED0010",9,360.6,96.8785,1,83,"83d",0,3,0,236.5
"x",NA,"02040104002228","1401LEB0098",14,357.318,99.838286,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150305001334","0903AMP0202",9,351.798353087,99.682739,NA,58,"58z",NA,NA,NA,236.5
NA,NA,"04150307002819","0902IND0051",9,330.5,95.760531,1,58,"58ab",0,0,2,236.5
NA,NA,"04150305001523","0903PLU0291",9,315.018594992,97.563678,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001406","0903DUC0210",9,314.27792504,98.853795,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150306001251","0902MAD0225",9,305.102203246,96.40317,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"02040104002195","1402WOL0037",14,284.5,99.616858,6,62,"62b",43,91,10,236.5
NA,NA,"04150307000861"," ",9,275.112015896,98.427747,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150306002953","0902SPI0264",9,270.56,96.435508,2,58,"58ad",0,13,16,304
NA,NA,"04150306002953","0902SPI0264",9,268.636780996,96.435508,NA,58,"58ad",NA,NA,NA,304
NA,NA,"04150305001502","0903MOO0286",9,245.708121679,97.771744,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305004663","0903SLI0260",9,244.877185429,95.861895,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150302005759","0905UWB5258",9,239.983528686,98.238343,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305004095"," ",9,234.589229353,99.177437,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"04150305004961","0903MAR0165",9,233.775694797,98.627851,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001254","0903SOU0017A",9,226.603199707,95.731948,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150303000586","0906PLE0006",9,207.7,97.049969,1,83,"83d",0,3,1,236.5
NA,NA,"04150307002547","0902SPR0023A",9,194.401705479,97.597152,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001291","0903JOR0046",9,178.663284466,99.509403,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001555","0903SAG0313",9,172.388477469,97.659903,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001436","0903TRO0146",9,156.330161141,98.36219,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001382","0903EAG0080",9,153.943500526,96.291971,NA,58,"58aa",NA,NA,NA,304
NA,NA,"02040104002204","1401CRY0197",14,152.845,98.935245,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"02040104002204","1401CRY0197",14,151.5,98.935245,2,62,"62b",4,14,0,236.5
NA,NA,"04150302001522","0905FLA0265",9,149.747583869,97.680957,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001532","0903USA0296",9,145.833638598,96.951145,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001386","0903LSI0182",9,145.542321467,98.44163,NA,58,"58aa",NA,NA,NA,304
NA,NA,"04150302001519","0905BRO5140",9,144.262395427,98.19445,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001382","0903EAG0080",9,143.58,96.291971,5,58,"58aa",1,38,63,304
NA,NA,"04150305001538","0903LSA0294",9,133.370549267,95.813107,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150306001312","0902FIS0149",9,124.015219929,99.2453,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"04150305001563","0903MT 0083",9,123.242142374,99.500936,NA,58,"58aa",NA,NA,NA,304
NA,NA,"04150302001450","0905CHU0081",9,119.159482022,99.416255,NA,83,"83e",NA,NA,NA,236.5
NA,NA,"04150308000237","0902BRA0007",9,114.792080845,96.080687,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305004653","0903STO0264",9,113.98881818,98.030942,NA,58,"58aa",NA,NA,NA,236.5
NA,"yes","04150304000849","0904SIL0351",9,113.2,95.86682,15,58,"58ab",12,253,73,236.5
NA,NA,"02040104002713","1401BEA0031",14,112.503,100,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"02040104002278","1401SAN0176",14,112.3,99.378881,1,62,"62b",0,2,1,236.5
NA,NA,"04150306003174"," ",9,110.427904115,96.418649,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150303000665","0906IND0040",9,109.104277833,96.375075,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150307002536","0902UWB5090",9,108.330172922,99.336899,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"02040101001590","1401YOR0203",14,100.6,100,1,62,"62b",0,4,0,236.5
NA,NA,"04150306001255","0902CHA0193",9,98.3573815453,98.439008,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001518"," ",9,95.700342541,95.420792,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150305001309","0903LEA0093",9,95.2011509464,95.908544,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"04150303002172"," ",9,93.3016479405,97.560975,NA,83,"83d",NA,NA,NA,236.5
NA,NA,"04150302001784","0905UWB5245",9,93.1543028722,98.27883,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150304000846","0904HUC0291",9,89.4654670575,96.356916,NA,83,"83e",NA,NA,NA,236.5
NA,NA,"04150302001577","0905SUC0274",9,89.4633300428,98.544698,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150305001498"," ",9,86.7696349028,97.952219,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"02040104002182","1401IND0102",14,81.9,99.324056,1,62,"62b",0,4,0,236.5
NA,NA,"02040104002248","1401STE0180",14,81.201,97.848383,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"02040104002199","1401TOR0101",14,80.9535,98.125199,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150306001357","0902LLO0267A",9,79.0812333256,100,NA,58,"58ad",NA,NA,NA,236.5
"x",NA,"02040104002098","1402EAS0055",14,78.8743,99.503106,NA,60,"60b",NA,NA,NA,304
NA,NA,"02040104002254","1401BEA5568",14,78.7829,99.530076,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150306001320","0902MCD0126",9,78.6540787919,97.046647,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150302001667","0905ROU0161",9,78.4947902857,100,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150306001282","0902BLA0256",9,77.3369111881,99.773551,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"02040104002293","1401BIG0075",14,76.9564,97.154038,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150305001367","0903UPR0239",9,76.5418803878,100,NA,58,"58z",NA,NA,NA,236.5
NA,NA,"02040104002328","1401NO30005",14,75.887,97.204245,NA,62,"62b",NA,NA,NA,304
NA,NA,"02040104002264","1401MET0081",14,74.5226,96.640944,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"02040102000513","1403LIL0311",14,74.3,98.667683,1,60,"60c",0,4,0,304
NA,NA,"04150305001356"," ",9,72.8724548747,98.36061,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"02040104002211","1401RUD0092",14,71.4706,97.227574,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150305001362","0903DUC0235",9,68.3257557934,99.389014,NA,58,"58z",NA,NA,NA,236.5
NA,NA,"04150302001502","0905SOU0261",9,67.5929849497,97.510806,NA,58,"58ab",NA,NA,NA,236.5
NA,NA,"04150307000886","0902DUC0040",9,63.7604180105,99.233298,NA,58,"58aa",NA,NA,NA,236.5
NA,NA,"04150306001325","0902DRY0128",9,63.5754123245,99.872367,NA,58,"58ad",NA,NA,NA,236.5
NA,NA,"02040101001533","1401SWA0211",14,62.1,95.25516,1,62,"62b",2,2,0,236.5
NA,NA,"02040104002238","1401SUN5567",14,61.8666,100.000001,NA,62,"62b",NA,NA,NA,236.5
NA,NA,"04150306001261","0902QUE0227",9,61.6531597449,99.163637,NA,58,"58ab",NA,NA,NA,236.5
