OBJECTID *,ACRES,FIN,WATER,SHORELINE_MILES,Shape *,SHAPE.AREA,SHAPE.LEN
110,276083.9,C-P1,Lake Champlain,622.2,Polygon Z,1117276430,1001306.168
178,160.6,C-25-8-P218,Butternut Pond,3,Polygon Z,649937.858,4877.634611
378,75109.5,E-P5000,Lake Erie,79,Polygon Z,303958379.8,127115.0278
2526,8720.334726,ONT-66-12-29-P193,Skaneateles Lake,33.989953,Polygon Z,35290083.75,54701.63704
3469,11678.12635,ONT-66-12-P369-115-P388,Keuka Lake,59.601174,Polygon Z,47259889.68,95918.98312
3832,12.7,E-68-2-P165A,Minton Reservoir,0.6,Polygon Z,51464.40956,1026.042841
4642,1286.8,ER-3-P1063,Kensico Reservoir,17.1,Polygon Z,5207354.086,27458.84843
5560,17.4,E-50-5-P160K,Brocton Reservoir,0.9,Polygon Z,70219.25603,1417.434073
8122,113.4,NJ-13-2-P1021C,Sterling Forest Lake,2.3,Polygon Z,459062.7419,3744.733904
8124,293.7,NJ-13-P1025,Sterling Lake,4.1,Polygon Z,1188560.748,6675.833013
8407,116.6,H-139-13-19-28-P491-1-P492,Highland Lake,2.4,Polygon Z,471927.0234,3927.560547
8811,126.9,H-61-P187A,Stillwell Lake,3.8,Polygon Z,513658.8753,6085.394835
9004,0.771506,H-240-180-55-P798F,Herkimer Reservoir,0.13707,Polygon Z,3122.186117,220.593111
9126,164.5,H-221-4-7-PN262A,Vly Creek Reservoir,4.8,Polygon Z,665599.6901,7682.68678
9292,5.4,H-43-1-11-5-P150A,First Reservoir,0.5,Polygon Z,21665.31438,759.331252
10374,2.25014,H-240-82-63-13-13-P589A,Unnamed Water,0.258805,Polygon Z,9106.028508,416.506962
12777,64.694207,ONT-66-11-P26-24-14-4-P73,Oneida City Reservoir,3.194067,Polygon Z,261809.2135,5140.362105
14460,133.943325,SR-146-19-6-1-P213,Chenango Lake,2.106326,Polygon Z,542051.574,3389.810481
144,13163.9,PA-63-13-4-P122,Chautauqua Lake,47.9,Polygon Z,53272570.97,77098.50386
692,1718.8,H-264-4-P1095,Tomhannock Reservoir,19,Polygon Z,6955609.729,30588.60818
700,3207.6,ONT-117-40-P67,Conesus Lake,18.3,Polygon Z,12980550.55,29461.98928
906,1944458,E-P5000,Lake Erie,329.9,Polygon Z,7868973813,530896.5252
1392,383.7,H-221-4-PN270,Watervliet Reservoir,11.6,Polygon Z,1552741.92,18688.40094
3351,6796.898913,ONT-66-12-43-P212,Owasco Lake,26.534551,Polygon Z,27506184.04,42703.30601
4455,871.5,ER-3-P1063,Kensico Reservoir,15,Polygon Z,3526901.434,24186.06776
5207,239.9,C-15-58-P88,Mckenzie Pond,3.9,Polygon Z,971015.4667,6229.166502
7054,42.1,H-71-P200,Bog Meadow Pond,2.5,Polygon Z,170192.4701,4019.905014
7145,1.6,H-83-P215B,Unnamed Water,0.3,Polygon Z,6294.197991,402.861568
7867,2.6,ONT-117-P30,Unnamed Water,0.3,Polygon Z,10511.57341,422.20154
8701,33.3,H-61-2-P184A,Queensboro Lake,2.3,Polygon Z,134656.4159,3734.844026
9855,7.779334,H-240-94-3-P678A,Fonda Reservoir,0.422966,Polygon Z,31481.97184,680.698683
10824,6.1,H-171-17-P838A,Kingston Rs No 2,0.8,Polygon Z,24733.6753,1281.183017
11573,100.23166,H-369-P127-33-1-P151,Jackson Summit Reservoir,2.780445,Polygon Z,405624.7615,4474.7009
13760,17.463115,ONT-66-12-P296-75-5-P340A,Unnamed Water,1.063361,Polygon Z,70671.00109,1711.316933
542,145.5,D-1-38-3-P44,Kiamesha Lake,1.9,Polygon Z,588786.5022,3059.61075
1283,695.6,H-31-P44-23-P67,West Branch Reservoir,9.5,Polygon Z,2814910.061,15254.29267
1563,8060.2,H-171-P848,Ashokan Reservoir,52,Polygon Z,32618790.08,83723.08521
2380,42614.82363,ONT-66-12-P296,Cayuga Lake,105.828777,Polygon Z,172456762.5,170315.2484
3385,1.2,ONT-19-45-10-P594,Lowville Reservoir,0.2,Polygon Z,4840.135712,358.459415
3453,4099.850266,SR-P404,Otsego Lake,20.30311,Polygon Z,16591571.75,32674.75439
3940,1.2,E-23-20-19-P104A,Unnamed Water,0.3,Polygon Z,5012.471329,404.94845
4097,47.4,E-37-7-P160,Fredonia Reservoir,2,Polygon Z,191742.6309,3167.771125
4748,47.5,E-23-6-4-P100,Clear Lake,2.5,Polygon Z,192254.0729,4028.612592
5035,170880.1,ONT,Lake Ontario,217.1,Polygon Z,691529866,349414.6284
6076,40.7,C-15-5-3-P27,Patterson Reservoir,1.7,Polygon Z,164853.6259,2668.989259
8773,1.762614,H-240-82-63-25-P599,Unnamed Water,0.207631,Polygon Z,7133.072812,334.14958
9834,21.3,H-171-17-7-P837A,Kingston Rs No 4,0.9,Polygon Z,86103.04543,1419.750796
10983,15.3,H-P774,Mohonk Lake,0.9,Polygon Z,61871.02521,1409.336297
12095,38.564333,H-240-89-8-P664,Cork Center Reservoir,1.851998,Polygon Z,156064.9445,2980.507188
13353,22.371553,PA-3-57-5-49-7-P36,Hornell Rs No 2,0.901417,Polygon Z,90534.82566,1450.693591
15508,52.634824,SR-P404-9-P405,Allen Lake,1.148092,Polygon Z,213006.4295,1847.678915
15578,17361.60829,SL-P5150,Lake St Lawrence,107.149369,Polygon Z,70260217.07,172440.5383
16006,18.925483,PA-3-57-5-49-P35,Hornell Rs No 3,1.924644,Polygon Z,76589.02028,3097.420612
136,28523.1,C-101-P367,Lake George,162.3,Polygon Z,115429211,261177.5056
290,116.3,PA-63-13-23-P131,Bear Lake,2.7,Polygon Z,470495.3754,4299.134918
680,1948.6,H-31-P44,New Croton Reservoir,38.2,Polygon Z,7885648.698,61526.48444
1179,236.8,H-193-29-P950A,Basic Creek Reservoir,4.9,Polygon Z,958411.0862,7813.509931
1533,62.7,H-193-1-P913,Hollister Lake,2.6,Polygon Z,253885.4086,4207.119968
1616,366.336867,H-240-14-P503A,Stony Reservoir,13.698489,Polygon Z,1482518.632,22045.62539
2165,832.09373,ONT-117-70-P115,Silver Lake,8.106793,Polygon Z,3367377.325,13046.64508
2251,0.689187,H-369-P127-33-1-P150A,Gloversville Reservoir,0.141907,Polygon Z,2789.053399,228.377374
2603,2210.347614,ONT-66-12-12-P154-6-P175,Otisco Lake,14.951642,Polygon Z,8944995.216,24062.38324
3196,1.7,C-23-10-P212,Unnamed Water,0.3,Polygon Z,6920.707638,408.331246
3422,10527.95276,ONT-66-12-52-P286,Canandaigua Lake,41.046172,Polygon Z,42605283.65,66057.54282
3501,43385.91021,ONT-66-12-P369,Seneca Lake,79.184058,Polygon Z,175577251.7,127434.6431
4025,6.1,SR-44-56-P108,Unnamed Water,0.5,Polygon Z,24552.29084,864.595844
4196,66,D-1-48-P55,East Pond,1.5,Polygon Z,267294.6382,2466.010925
5239,67.4,H-299-P27-13-1-P30-2-P35,Loughberry Lake,2.8,Polygon Z,272722.0297,4442.255416
7314,1.249813,H-240-82-147B-1-3-P655A,Tannersville Reservoir,0.181401,Polygon Z,5057.833629,291.936812
7418,53.7,H-193-9-2-P925A,Potic Reservoir,2.6,Polygon Z,217480.7881,4261.966734
7842,15.3,C-134-4-19-P455A,Wilkie Reservoir,1,Polygon Z,62030.1787,1548.451617
7907,44.1,NJ-12-16-P1007A,Unnamed Water,1.8,Polygon Z,178352.8821,2971.873962
8258,123434.2,ONT,Lake Ontario,130.2,Polygon Z,499522598.5,209606.8998
8482,192.3,H-P225-1-2-P226A,Brown's Pond,6,Polygon Z,778132.8509,9664.513014
8566,167.3,H-P225,Lake Washington,2.4,Polygon Z,677027.0335,3865.508973
