OBJECTID_1,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET
1,963105,Rushford Lake,4.13E+12,390,39004,754.186197,331.316368,6188.994301,1672.895908,8947.392774,26793.8,588.71,15.1983,0,Genesee River Basin,4,0.180665366,2001480,2,0403RUS0146,ONT-117-136-P146,Allegany,Lake,Rushford Lake, ,Yes,Genesee River Basin,Pa. border to Mt. Morris,0403RUS0146_C,No,BT,0403-0024,Rushford Lake Centroid,42.3806,-78.1927032,12.3567,2017,108,0403-0024,Ont 117-136-P146,Rushford Lake,entire lake,Genesee River,L,572.3,N/A,-,N/A,-,Fully Supported,Suspected,Fully Supported,Known,Fully Supported,Known,Fully Supported,Known,Fair,Unknown,Impaired,Strategy Implementation Scheduled or Underway,10/8/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0024.pdf
2,952563,Hemlock Lake,4.13E+12,390,39009,393.999807,537.593871,4507.502846,1783.915242,7588.303766,27460.2,2074.01,3.658759488,365.292,Genesee River Basin,4,0.252496614,3001265,2,0402HEM0044,ONT-117-27-34-P44,"Livingston, Ontario",Lake,Hemlock Lake, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402HEM0044_C,Yes,AAT,0402-0011,Hemlock Lake Centroid,42.7057991,-77.6059036,2.798630925,2017,64,0402-0011,Ont 117- 27-34-P44,Hemlock Lake,entire lake,Genesee River,L,2074,Fully Supported,Known,N/A,-,Fully Supported,Known,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Known,Good,Good,No Known Impact,No Action Needed,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0011.pdf
3,962766,Rockville Lake,4.13E+12,390,39009,172.007378,155.111278,2799.863357,1024.793856,4151.77587,16356,33.4432,124.144,0,Genesee River Basin,4,0.037194497,2001489,2,0403ROC0155,ONT-117-148-P155,Allegany,Lake,Rockville Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403ROC0155_C,No,C,0403-0053,Rockville Lake Centroid,42.3064003,-78.1485977,93.5013, ,127,0403-0053,Ont 117-148-P155,Rockville Lake,entire lake,Genesee River,L,26.8,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,10/8/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0053.pdf
4,944325,Blue Pond,4.13E+12,390,39009,79.388021,226.644756,2925.438411,135.015701,3366.486889,5160.4,16.1889,207.95,0,Genesee River Basin,4,0.010903667,3001230,2,0402BLU0011,ONT-117-19-4-P11,Monroe,Lake,Blue Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402BLU0011_C,No,B,0402-0079,Blue Pond Centroid,43.0278015,-77.8209,199.61,2010,132,0402-0079,Ont 117- 19- 4-P11,Blue Pond,entire lake,Genesee River,L,16.2,N/A,-,N/A,-,Fully Supported,Unconfirmed,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,No Known Impact,No Action Needed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0079.pdf
5,965260,Silver Lake,4.13E+12,390,39009,127.902922,341.346413,5887.738711,251.461461,6608.449507,11067.9,863.445,7.653584776,0,Genesee River Basin,4,0.165145518,2001356,2,0403SIL0115,ONT-117-70-P115,"Wyoming, Livingston*",Lake,Silver Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SIL0115_DH,Yes,A,0403-0002,SILVER LAKE (WYOMING COUTNY) DEEP HOLE,42.6903992,-78.0290985,7.362354343,2017,107,0403-0002,Ont 117- 70-P115,Silver Lake,entire lake,Genesee River,L,832.1,Impaired,Suspected,N/A,-,Stressed,Known,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Fair,Poor,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0002.pdf
6,957275,Mill Pond,4.13E+12,390,39009,2.940297,29.794786,49.360459,2.913368,85.00891,155.332,6.445110139,13.1897,0,Genesee River Basin,4,0.009976951,3001224,2,0402MIL0016,ONT-117-19-28A-P16,Genesee,Lake,Mill Pond,Byron Pond,No,Genesee River Basin,Mt. Morris to Barge Canal,0402MIL0016_DH,No,C,0402-0050,MILL POND (BYRON)/BYRON POND Deep Hole,43.0839005,-78.0558014,12.7376,2015,30,0402-0050,Ont 117- 19-28a-P 16,Mill Pond,entire lake,Genesee River,L,6.1,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Fully Supported,Unconfirmed,Stressed,Suspected,Unknown,Unknown,Impaired,Verification of Problem Severity Needed,10/7/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0050.pdf
7,942439,Amity Lake,4.13E+12,390,39009,32.343268,4.25893,20.037744,51.128496,107.768437,591.021,20.8758,5.162362017,0,Genesee River Basin,4,0.013549199,2001506,2,0403AMI0159A,ONT-117-169-3-P159A,Allegany,Lake,Amity Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403AMI0159A_C,No,C,0403-0054,Amity Lake Centroid,42.2190018,-77.9891968,2.713186608,2010,82,0403-0054,"Ont 117-169-P159a,P159b","Amity Lake, Saunders Pond",total area of both lakes,Genesee River,L,33,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0054.pdf
8,950517,Foster Lake,4.13E+12,390,39009,0,0,0,9.31833,9.31833,121.85,26.8507,0.347042349,0,Genesee River Basin,4,0.01868542,2001496,2,0403FOS0161B,ONT-117-176-10-P161B,Allegany,Lake,Foster Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403FOS0161B_C,No,C,0403-0055,Foster Lake Centroid,42.2332001,-77.8244019,0,2010,117,0403-0055,Ont 117-176-10-P161b,Foster Lake,entire lake,Genesee River,L,26.9,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/8/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0055.pdf
9,953249,Horseshoe Pond,4.13E+12,390,39009,45.574605,244.17666,2638.627345,41.409856,2969.788465,3268.69,27.3235,108.69,0,Genesee River Basin,4,0.045021791,3001250,2,0402HOR0061,ONT-117-31-P61,Livingston,Lake,Horseshoe Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402HOR0061_C,No,C,0402-0065,Horseshoe Pond Centroid,42.9324989,-77.7475967,107.174, ,155,0402-0065,Ont 117- 31-P61,Horseshoe Pond,entire lake,Genesee River,L,26.9,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,8/13/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0065.pdf
10,970218,Honeoye Lake,4.13E+12,390,39009,248.455102,383.155988,1794.668016,1983.35863,4409.637736,25611.6,1796.58,2.45446222,0,Genesee River Basin,4,0.168005435,3001267,2,0402HON0057,ONT-117-27-P57,Ontario,Lake,Honeoye Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402HON0057_C,Yes,AA,0402-0032,Honeoye Lake Centroid,42.7542,-77.5115967,1.350498784,2017,65,0402-0032,Ont 117- 27-P57,Honeoye Lake,entire lake,Genesee River,L,1796.6,Impaired,Unconfirmed,N/A,-,Impaired,Known,Impaired,Known,UnAssessed,-,Fully Supported,Suspected,Poor,Poor,Impaired,Restoration/Protection Strategy Needed,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0032.pdf
