OBJECTID_1,FDate,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET,SHAPE_AREA_1,Shape_Length,Shape_Area
1,11/5/2009 0:00:00,00963105,Rushford Lake,04130002001480,390,39004,754.186196999999990,331.316368000000010,6188.994300999999700,1672.895908000000000,8947.392773999999900,26793.799999999999000,588.710000000000040,15.198300000000000,0.000000000000000,Genesee River Basin,04,0.180665365516000,02001480,2,0403RUS0146,ONT-117-136-P146,Allegany,Lake,Rushford Lake, ,Yes,Genesee River Basin,Pa. border to Mt. Morris,0403RUS0146_C,No,BT,0403-0024,Rushford Lake Centroid,42.3806000,-78.1927032,12.356700000000000,2017,108,0403-0024,Ont 117-136-P146,Rushford Lake,entire lake,Genesee River,L,572.3,N/A,-,N/A,-,Fully Supported,Suspected,Fully Supported,Known,Fully Supported,Known,Fully Supported,Known,Fair,Unknown,Impaired,Strategy Implementation Scheduled or Underway,10/8/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0024.pdf,2315874.152169660200000,0.180665365516314,0.000260190119955
2,6/3/2002 0:00:00,00952563,Hemlock Lake,04130003001265,390,39009,393.999806999999980,537.593871000000040,4507.502846000000300,1783.915242000000000,7588.303766000000000,27460.200000000001000,2074.010000000000200,3.658759488140000,365.291999999999970,Genesee River Basin,04,0.252496613966000,03001265,2,0402HEM0044,ONT-117-27-34-P44,"Livingston, Ontario",Lake,Hemlock Lake, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402HEM0044_C,Yes,AAT,0402-0011,Hemlock Lake Centroid,42.7057991,-77.6059036,2.798630924630000,2017,64,0402-0011,Ont 117- 27-34-P44,Hemlock Lake,entire lake,Genesee River,L,2074,Fully Supported,Known,N/A,-,Fully Supported,Known,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Known,Good,Good,No Known Impact,No Action Needed,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0011.pdf,8393218.216116389300000,0.252496613965760,0.000922198851560
3,11/5/2009 0:00:00,00962766,Rockville Lake,04130002001489,390,39009,172.007377999999990,155.111278000000000,2799.863357000000200,1024.793856000000000,4151.775870000000400,16356.000000000000000,33.443199999999997,124.144000000000010,0.000000000000000,Genesee River Basin,04,0.037194497313000,02001489,2,0403ROC0155,ONT-117-148-P155,Allegany,Lake,Rockville Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403ROC0155_C,No,C,0403-0053,Rockville Lake Centroid,42.3064003,-78.1485977,93.501300000000001, ,127,0403-0053,Ont 117-148-P155,Rockville Lake,entire lake,Genesee River,L,26.8,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,10/8/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0053.pdf,108259.451142969000000,0.037194497312988,0.000014764461566
4,6/3/2002 0:00:00,00944325,Blue Pond,04130003001230,390,39009,79.388020999999995,226.644756000000000,2925.438411000000100,135.015701000000010,3366.486888999999800,5160.399999999999600,16.188900000000000,207.949999999999990,0.000000000000000,Genesee River Basin,04,0.010903666901400,03001230,2,0402BLU0011,ONT-117-19-4-P11,Monroe,Lake,Blue Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402BLU0011_C,No,B,0402-0079,Blue Pond Centroid,43.0278015,-77.8209000,199.610000000000010,2010,132,0402-0079,Ont 117- 19- 4-P11,Blue Pond,entire lake,Genesee River,L,16.2,N/A,-,N/A,-,Fully Supported,Unconfirmed,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,No Known Impact,No Action Needed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0079.pdf,65514.316468877805000,0.010903666901380,0.000007231887622
5,1/10/2013 0:00:00,00965260,Silver Lake,04130002001356,390,39009,127.902922000000000,341.346412999999980,5887.738711000000000,251.461461000000010,6608.449507000000300,11067.900000000000000,863.445000000000050,7.653584776100000,0.000000000000000,Genesee River Basin,04,0.165145517951000,02001356,2,0403SIL0115,ONT-117-70-P115,"Wyoming, Livingston*",Lake,Silver Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SIL0115_DH,Yes,A,0403-0002,SILVER LAKE (WYOMING COUTNY) DEEP HOLE,42.6903992,-78.0290985,7.362354343360000,2017,107,0403-0002,Ont 117- 70-P115,Silver Lake,entire lake,Genesee River,L,832.1,Impaired,Suspected,N/A,-,Stressed,Known,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Fair,Poor,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0002.pdf,3367378.253776589900000,0.165145517950704,0.000383584215937
6,10/3/2007 0:00:00,00957275,Mill Pond,04130003001224,390,39009,2.940297000000000,29.794785999999998,49.360458999999999,2.913368000000000,85.008910000000000,155.331999999999990,6.445110139490000,13.189700000000000,0.000000000000000,Genesee River Basin,04,0.009976950575090,03001224,2,0402MIL0016,ONT-117-19-28A-P16,Genesee,Lake,Mill Pond,Byron Pond,No,Genesee River Basin,Mt. Morris to Barge Canal,0402MIL0016_DH,No,C,0402-0050,MILL POND (BYRON)/BYRON POND Deep Hole,43.0839005,-78.0558014,12.737600000000000,2015,30,0402-0050,Ont 117- 19-28a-P 16,Mill Pond,entire lake,Genesee River,L,6.1,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Fully Supported,Unconfirmed,Stressed,Suspected,Unknown,Unknown,Impaired,Verification of Problem Severity Needed,10/7/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0050.pdf,24612.116535837402000,0.009976950575092,0.000002881092403
7,5/22/2003 0:00:00,00942439,Amity Lake,04130002001506,390,39009,32.343268000000002,4.258930000000000,20.037744000000000,51.128495999999998,107.768437000000010,591.020999999999960,20.875800000000002,5.162362017260000,0.000000000000000,Genesee River Basin,04,0.013549198564700,02001506,2,0403AMI0159A,ONT-117-169-3-P159A,Allegany,Lake,Amity Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403AMI0159A_C,No,C,0403-0054,Amity Lake Centroid,42.2190018,-77.9891968,2.713186608420000,2010,82,0403-0054,"Ont 117-169-P159a,P159b","Amity Lake, Saunders Pond",total area of both lakes,Genesee River,L,33,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0054.pdf,133483.496746527990000,0.013549198564711,0.000009205123257
8,11/5/2009 0:00:00,00950517,Foster Lake,04130002001496,390,39009,0.000000000000000,0.000000000000000,0.000000000000000,9.318330000000000,9.318330000000000,121.849999999999990,26.850700000000000,0.347042348990000,0.000000000000000,Genesee River Basin,04,0.018685420031400,02001496,2,0403FOS0161B,ONT-117-176-10-P161B,Allegany,Lake,Foster Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403FOS0161B_C,No,C,0403-0055,Foster Lake Centroid,42.2332001,-77.8244019,0.000000000000000,2010,117,0403-0055,Ont 117-176-10-P161b,Foster Lake,entire lake,Genesee River,L,26.9,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/8/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0055.pdf,108660.428130171000000,0.018685420031404,0.000011844012652
9,10/3/2007 0:00:00,00953249,Horseshoe Pond,04130003001250,390,39009,45.574604999999998,244.176660000000000,2638.627344999999900,41.409855999999998,2969.788465000000100,3268.690000000000100,27.323499999999999,108.690000000000000,0.000000000000000,Genesee River Basin,04,0.045021791085100,03001250,2,0402HOR0061,ONT-117-31-P61,Livingston,Lake,Horseshoe Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402HOR0061_C,No,C,0402-0065,Horseshoe Pond Centroid,42.9324989,-77.7475967,107.174000000000010, ,155,0402-0065,Ont 117- 31-P61,Horseshoe Pond,entire lake,Genesee River,L,26.9,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,8/13/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0065.pdf,109000.033375222990000,0.045021791085099,0.000012188538092
10,6/3/2002 0:00:00,00970218,Honeoye Lake,04130003001267,390,39009,248.455102000000010,383.155987999999980,1794.668016000000100,1983.358629999999900,4409.637735999999700,25611.599999999999000,1796.579999999999900,2.454462220440000,0.000000000000000,Genesee River Basin,04,0.168005434607000,03001267,2,0402HON0057,ONT-117-27-P57,Ontario,Lake,Honeoye Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402HON0057_C,Yes,AA,0402-0032,Honeoye Lake Centroid,42.7542000,-77.5115967,1.350498784360000,2017,65,0402-0032,Ont 117- 27-P57,Honeoye Lake,entire lake,Genesee River,L,1796.6,Impaired,Unconfirmed,N/A,-,Impaired,Known,Impaired,Known,UnAssessed,-,Fully Supported,Suspected,Poor,Poor,Impaired,Restoration/Protection Strategy Needed,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0032.pdf,7270491.471725000100000,0.168005434607209,0.000799270233178
