ReachCode,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub Scrub,Grassland Herbaceous,Pasture Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME
04130002001480,2.777377,0.22643,0.049187,0.009329,0.016961,50.389681,6.031361,5.039138,1.436604,0.397737,22.150326,10.966188,0.427419,0.082261,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001265,4.791745,0.378964,0.045511,0,0.024506,38.270946,7.180178,13.882495,7.50663,0.562757,16.146649,8.345076,1.816925,1.04762,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001489,2.454288,0.036733,0,0,0,43.207172,6.806432,7.497551,1.617599,0.272094,32.083968,2.716859,3.046093,0.26121,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001230,5.457869,1.845404,0.966226,0.069638,0,6.128134,0.117514,0.961873,1.392758,0.230675,31.515494,33.682974,15.324687,2.306755,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130002001356,6.442889,1.186504,0.111235,0,0,10.155074,0.176667,1.393705,1.182141,0.209383,34.234116,33.32679,8.658858,2.922637,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001224,11.908178,16.929699,3.156385,0,0,0,2.295552,0,3.156385,2.15208,35.724534,13.342898,2.439024,8.895265,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130002001506,1.838811,0,0,0,0,62.402191,9.428795,10.446009,6.846635,0.86072,8.176839,0,0,0,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001496,0,0,0,0,0,8.433735,63.13253,26.024096,0.963855,0,0,0,1.445783,0,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001250,4.780167,3.136557,1.766881,0.910834,0,5.978633,0.082181,1.239556,1.712094,0.725928,21.051911,55.663608,1.157376,1.794275,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003001267,3.647113,0.317546,0.04016,0,0,62.123264,4.397082,5.88488,6.131445,0.173717,10.260481,2.46005,4.192545,0.371716,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001477,4.780362,0,0,0,0,8.656331,16.537468,6.589147,0,0,63.436693,0,0,0,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001259,3.454947,0.055279,0,0,0,5.887231,1.188502,1.160862,1.741294,0,17.689331,66.196794,1.686014,0.939746,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003001255,0,0,0,0,0,19.158879,0,3.738318,0,0,68.224299,0,7.009346,1.869159,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003001262,5.435379,0.941692,0.271796,0.036239,0.028778,30.19063,0.702938,6.057312,8.630843,0.53613,29.613997,13.846121,2.364089,1.344056,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130002001427,0,0,0,0,0,31.48855,1.335878,15.330789,1.463104,0,8.842239,14.885496,25.572519,1.081425,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001493,3.428571,0,0,0,0,35.047619,34.47619,22.666667,0.380952,0,0,0,0.380952,3.619048,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001272,6.52921,0,0,0,0,0,0,9.965636,1.37457,0,0,74.914089,0,7.216495,60f,Cattaraugus Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001249,13.186813,6.043956,0,0,9.52381,2.564103,1.098901,0,4.578755,0,33.150183,27.106227,1.282051,1.465201,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003003392,4.365565,0,0,0,0,4.549164,0.203998,0.407997,0.673195,0,20.705834,60.403917,5.915953,2.774378,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001257,2.365591,0,0,0,0,9.784946,5.268817,6.666667,1.612903,0,43.548387,4.731183,20.215054,5.806452,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130002001453,1.062699,0,0,0,0,30.712009,8.501594,10.308183,0,0,49.415515,0,0,0,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130003001236,14.975563,8.813217,4.127709,1.79558,0.393115,5.737357,1.306842,1.912452,0.913727,0.074373,27.066511,23.108797,7.612622,2.162133,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003002961,0,0,0,0,0,0,0,0,9.52381,0,4.761905,0,0,85.714286,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS
04130003001277,3.14006,0.039402,0,0,0,55.860334,8.592732,14.509138,4.71009,0.418271,8.204771,1.47304,2.782408,0.269754,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001430,0,0,0,0,0,11.111111,0,0,37.037037,0,0,48.148148,3.703704,0,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
04130002001367,2.553996,0.226782,0.043197,0,0,39.157667,3.49892,8.979482,5.167387,0.037797,11.922246,22.861771,4.703024,0.847732,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS
