ReachCode,COUNT,Mean_Imperviousness 
02040101001236,2612,0.939127
02040101001238,2402,1.174438
02040101001240,967,0
02040101001241,3641,0.030486
02040101001243,581,0
02040101001248,784,0.093112
02040101001250,1020,0.006863
02040101001255,5491,0.100346
02040101001256,1388,0
02040101001257,3104,0.080541
02040101001258,124,0
02040101001261,5958,0.018295
02040101001267,777,0.148005
02040101001270,2889,0.08792
02040101001271,9489,0.043419
02040101001272,12512,0.32313
02040101001275,1898,0.008957
02040101001282,1122,0.131907
02040101001283,3476,0.007192
02040101001286,1301536,0.288666
02040101001291,839,0
02040101001292,2776,0.008646
02040101001293,919,0.23395
02040101001294,474,0.059072
02040101001295,3114,0.057482
02040101001296,200,5.185
02040101001297,8570,0.063477
02040101001298,2467,0.048642
02040101001299,1135,0.05815
02040101001301,1800,0.014444
02040101001302,1369,0.352082
02040101001304,2879,0.154915
02040101001306,1652,0.061138
02040101001307,356,0.176966
02040101001308,4234,0.104393
02040101001309,470,0
02040101001320,3394,0.007366
02040101001321,1717,0.111823
02040101001326,4882,0.027653
02040101001330,1970,0.017259
02040101001332,1033,0.022265
02040101001334,1301,0.352806
02040101001335,1028,0
02040101001336,3167,0.999053
02040101001341,1010,0
02040101001342,1159,0.02157
02040101001343,1260,0.064286
02040101001348,994,0.006036
02040101001349,880,0.043182
02040101001351,1031,0.061106
02040101001354,2273,0.059393
02040101001357,1509,0.060305
02040101001362,1756,0.019932
02040101001365,1677,0.037567
02040101001373,1049,0
02040101001381,461,0.10846
02040101001410,30537,0.155091
02040101001430,1733,0.041546
02040101001449,14774,0.101191
02040101001450,34165,0.199766
02040101001455,26647,0.126206
02040101001459,808,0.170792
02040101001465,686,0.712828
02040101001468,2335,0.544325
02040101001472,1468,0.014986
02040101001480,3696,0.284632
02040101001481,1619,0.369364
02040101001486,903,0.518272
02040101001494,1639,0.061623
02040101001498,2084,4.266795
02040101001501,456,2.208333
02040101001502,873,0.200458
02040101001506,10806,0.152693
02040101001513,2824,0.004958
02040101001530,215,1.683721
02040101001533,35285,0.053082
02040101001536,895,0.282682
02040101001537,1233,0.65369
02040101001543,1609,0
02040101001545,1358,0.205449
02040101001552,4518,0.069942
02040101001556,622,0.093248
02040101001557,6867,0.053153
02040101001563,1135,0.029956
02040101001583,1576,0.068528
02040101001584,1361,0.021308
02040101001589,7255,0.191868
02040101001590,1542,0
02040101003503,965,0.129534
02040101003531,1022,0
02040101003713,2992,0.027406
02040101003786,2225,0.010787
02040101003947,429,0.065268
02040101004529,605,0
02040101005695,1,0
02040101005711,650,0
02040101005722,1129,0.277236
02040101005724,979,0.188968
02040101005766,6811,0.35472
02040101005782,819,0
02040101005798,409,0.0489
02040101005800,606,0
02040101005804,18838,0.070177
02040101005807,568,0.042254
02040101007491,92226,0.252966
02040101013914,3132,0.07567
02040101014008,1234,0.004862
02040101014223,475,0
02040101014331,1353,0.028825
02040101014469,1079,0
02040101014617,1927,0.429165
02040101014619,424,0.007075
02040101014620,1886,0
02040101014624,1502,0.001997
02040101014629,1309,0.107716
02040101014633,609,0.178982
02040101014636,1536,0.059896
02040101014643,2061,0.044639
02040101014650,585,0.005128
02040101014655,999,0.002002
02040101014658,2260,0.029204
02040101014667,1926,0.046729
02040101014695,5020,0.057968
02040102000439,1286,0.051322
02040102000440,3448,0.059165
02040102000441,1642,0.00609
02040102000442,603,0.008292
02040102000443,2773,0.000361
02040102000444,888,0.066441
02040102000445,1561,0
02040102000447,578,0
02040102000448,1734,0.029412
02040102000451,1507,0.003318
02040102000452,2566,0.005456
02040102000453,8697,0
02040102000454,1531,0
02040102000455,4158,0
02040102000456,330,0
02040102000457,7473,0.003212
02040102000458,1546,0
02040102000459,707,0
02040102000460,2910,0
02040102000461,1067640,0.155529
02040102000464,1087,0
02040102000465,1205,0
02040102000466,1831,0.070999
02040102000467,1221,0
02040102000468,1314,0
02040102000469,691,0
02040102000471,2084,0.014395
02040102000472,1142,0
02040102000473,3204,0.009363
02040102000475,3385,0
02040102000477,11004,0.000909
02040102000481,612,0
02040102000482,2329,0
02040102000485,761,0
02040102000486,2468,0.006483
02040102000487,3592,0.049833
02040102000488,8593,0.004771
02040102000489,659,0.050076
02040102000490,4640,0.065733
02040102000492,1185,0
02040102000493,738,0
02040102000496,2155,0.126682
02040102000497,932,0.064378
02040102000498,1789,0.001677
02040102000499,1580,0.061392
02040102000500,535,1.379439
02040102000501,1526,0.024902
02040102000502,732,0.09153
02040102000504,1145,0.01048
02040102000505,854,0
02040102000507,1134,0.044974
02040102000509,1894,0
02040102000510,1225,0.042449
02040102000511,1510,0.10596
02040102000513,3005,0.022962
02040102000514,437,0
02040102000516,1798,0.03059
02040102000517,993,0.005035
02040102000518,911,0.073546
02040102000519,1301,0
02040102000521,2545,0.238507
02040102000522,162,0
02040102000523,12558,0.204173
02040102000526,4652,0.012468
02040102000527,576,0.118056
02040102000529,7357,0.281501
02040102000532,812,0.003695
02040102000533,1933,0.096741
02040102000534,2618,0
02040102000536,6611,0.011647
02040102000537,5035,0.052036
02040102000545,1038,0
02040102000546,687,1.285298
02040102002831,774,0
02040102002832,1419,0
02040102002941,1531,0.094709
02040102002970,692,0.937861
02040102003003,125445,0.200335
02040102003604,84,5.571429
02040104002063,1625,0.000615
