SAMPLE_ID,INFO_TYPE
54516,DP
54517,DP
54518,DP
54519,DP
54520,DP
54521,DP
54522,DP
54523,DP
54524,DP
54525,DP
54526,DP
54527,DP
54528,DP
54529,DP
54530,DP
54531,DP
54532,DP
54533,DP
54534,DP
54535,DP
54536,DP
54537,DP
54538,DP
54539,DP
54540,DP
54541,DP
54542,DP
54543,DP
54544,DP
54545,DP
54546,DP
54547,DP
54548,DP
54549,DP
54550,DP
54551,DP
54552,DP
54553,DP
54554,DP
54555,DP
54556,DP
54557,DP
54558,DP
54559,DP
54560,DP
54561,DP
54562,DP
54563,DP
54564,DP
54565,DP
54566,DP
54567,DP
54568,DP
54569,DP
54570,DP
54571,DP
54572,DP
54573,DP
54574,DP
54575,DP
54576,DP
54577,DP
54578,DP
54579,DP
54580,DP
54581,DP
54582,DP
54583,DP
54584,DP
54585,DP
54586,DP
54587,DP
54588,DP
54589,DP
54590,DP
54591,DP
54592,DP
54593,DP
54594,DP
54595,DP
54596,DP
54597,DP
54598,DP
58996,DP
58997,DP
58998,DP
58999,DP
59000,DP
59001,DP
59002,DP
59003,DP
59004,DP
59005,DP
59006,DP
59007,DP
59008,DP
59009,DP
59010,DP
59011,DP
59012,DP
59013,DP
59014,DP
59015,DP
59016,DP
59017,DP
59018,DP
59019,DP
59020,DP
59021,DP
59022,DP
59023,DP
59024,DP
59025,DP
59026,DP
59027,DP
59028,DP
59029,DP
59030,DP
59031,DP
59032,DP
59033,DP
59034,DP
59035,DP
59036,DP
59037,DP
59038,DP
59039,DP
59040,DP
59041,DP
59042,DP
59043,DP
59044,DP
59045,DP
59046,DP
59047,DP
59048,DP
59049,DP
59050,DP
59051,DP
59052,DP
59053,DP
59054,DP
59055,DP
59056,DP
59057,DP
59058,DP
59059,DP
59060,DP
59061,DP
59062,DP
59063,DP
59064,DP
59065,DP
59066,DP
59067,DP
59068,DP
59069,DP
59070,DP
59071,DP
59072,DP
59073,DP
59074,DP
59075,DP
59076,DP
59077,DP
59078,DP
59079,DP
59080,DP
59081,DP
59082,DP
59083,DP
59084,DP
59085,DP
59086,DP
59087,DP
59088,DP
59089,DP
59090,DP
59091,DP
59092,DP
59093,DP
59094,DP
59095,DP
59096,DP
59097,DP
59098,DP
59099,DP
59100,DP
59101,DP
59102,DP
59103,DP
59104,DP
59105,DP
59106,DP
59107,DP
59108,DP
59109,DP
59110,DP
59111,DP
59112,DP
59113,DP
59114,DP
59115,DP
59116,DP
59117,DP
59118,DP
59119,DP
59120,DP
59121,DP
59122,DP
59123,DP
59124,DP
59125,DP
59126,DP
59127,DP
59128,DP
59129,DP
59130,DP
59131,DP
59132,DP
59133,DP
59134,DP
59135,DP
59136,DP
59137,DP
59138,DP
59139,DP
59140,DP
59141,DP
59142,DP
