OBJECTID_12,Join_Count,TARGET_FID,OBJECTID_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Acres,Shape_Le_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,SHAPE_AREA_1,Shape_Length,Shape_Area
2,1,1,6,14,129618609,7/29/2009 0:00,2, , ,1.48,0,4.1501E+12,390,39004,0,0.093769818,365.443755,0.093769818,3-Mar,3438250381,Lake Ontario Eastern Section,3,Lake Ontario & Minor Tribs.,3436222620,0.093769818,0.000166264
4,1,3,16,31,167248139,8/8/2011 0:00,2,976121,Chaumont Pond,2.898,432.8,4.1503E+12,390,39009,0,0.280730552,715.627718,0.280730546,5-Sep,2717692357,Oswegatchie River,9,St. Lawrence River Basin,2717692357,0.280730546,0.000326404
5,1,4,35,50,{48d44e55-bda9-4839-9ceb-3b574acb275e},3/26/2013 0:00,2,949012,East Branch Reservoir,2.26202263,127,2.0301E+12,390,39012,0,0.314219094,558.705223,0.314219091,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.314219091,0.000243552
7,1,6,40,1267,129442619,10/19/2010 0:00,2, , ,0.038,0,5.01E+12,390,39004,0,0.011310483,9.487431409,0.011310482,2-Feb,2918385227,Conewango Creek,2,Allegheny River Basin,2460241311,0.011310482,4.18642E-06
8,1,7,41,1289,129447884,10/19/2010 0:00,2, , ,0.033,1575,5.01E+12,390,39009,0,0.008554733,8.090154278,0.008554733,2-Feb,2918385227,Conewango Creek,2,Allegheny River Basin,2460241311,0.008554733,3.5505E-06
9,1,8,42,1363,129441707,10/19/2010 0:00,2, , ,0.039,0,5.01E+12,390,39004,0,0.00851863,9.578757848,0.008518629,2-Feb,2918385227,Conewango Creek,2,Allegheny River Basin,2460241311,0.008518629,4.22705E-06
10,1,9,43,1395,129444968,10/19/2010 0:00,2, , ,0.04,0,5.01E+12,390,39004,0,0.009339945,9.989988658,0.009339946,2-Feb,2918385227,Conewango Creek,2,Allegheny River Basin,2460241311,0.009339946,4.38774E-06
11,1,10,44,1427,129444263,10/19/2010 0:00,2, , ,0.07,0,5.01E+12,390,39004,0,0.010730657,17.4100955,0.010730658,2-Feb,2918385227,Conewango Creek,2,Allegheny River Basin,2460241311,0.010730658,7.64277E-06
12,1,11,45,1509,{4559E9FB-E0C1-4331-91D8-AA7AEE254771},5/10/2010 0:00,2, , ,0.058,0,4.1201E+12,390,39004,0,0.011451307,14.2739362,0.011451308,5-Jan,870156003.7,Lake Erie West End (Silver Creek to Pa. Line),1,Lake Erie-Niagara River Basin,792587788.6,0.011451308,6.30778E-06
13,1,12,46,1521,123926167,5/10/2010 0:00,2, , ,0.035,854,4.1201E+12,390,39009,0,0.010213554,8.635634041,0.010213554,5-Jan,870156003.7,Lake Erie West End (Silver Creek to Pa. Line),1,Lake Erie-Niagara River Basin,792587788.6,0.010213554,3.81988E-06
