Designated_Use,simpleWC,simpleT,Characteristic.Name,direction,threshold,units,limnion,simpleF
drinking_water,A,,ARSENIC,greater,50,ug/L,,
drinking_water,A,,CHLORIDE,greater,250,mg/L,,
drinking_water,A,,IRON,greater,300,ug/L,,
drinking_water,A,,MANGANESE,greater,300,ug/L,,
drinking_water,A,,"NITROGEN, NITRATE (AS N)",greater,10,mg/L,,
drinking_water,A,,PHOSPHORUS,greater,0.02,mg/L,OW,T
drinking_water,A,,SULFATE (AS SO4),greater,250,mg/L,,
recreation,A,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
recreation,A,,PHOSPHORUS,greater,0.02,mg/L,OW,T
aquatic_life,A,TS,DISSOLVED OXYGEN (DO),less,7,mg/L,,
aquatic_life,A,T,DISSOLVED OXYGEN (DO),less,5,mg/L,,
aquatic_life,A,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
aquatic_life,A,,PH,less,6,,,
aquatic_life,A,,PH,greater,9,,,
recreation,B,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
recreation,B,,PHOSPHORUS,greater,0.02,mg/L,OW,T
aquatic_life,B,TS,DISSOLVED OXYGEN (DO),less,7,mg/L,,
aquatic_life,B,T,DISSOLVED OXYGEN (DO),less,5,mg/L,,
aquatic_life,B,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
aquatic_life,B,,PH,less,6,,,
aquatic_life,B,,PH,greater,9,,,
aquatic_life,C,TS,DISSOLVED OXYGEN (DO),less,7,mg/L,,
aquatic_life,C,T,DISSOLVED OXYGEN (DO),less,5,mg/L,,
aquatic_life,C,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
aquatic_life,C,,PH,less,6,,,
aquatic_life,C,,PH,greater,9,,,
aquatic_life,D,TS,DISSOLVED OXYGEN (DO),less,7,mg/L,,
aquatic_life,D,T,DISSOLVED OXYGEN (DO),less,5,mg/L,,
aquatic_life,D,,DISSOLVED OXYGEN (DO),less,4,mg/L,,
aquatic_life,D,,PH,less,6,,,
aquatic_life,D,,PH,greater,9,,,
