LakeNum,LakeName,County,Town,Area (ac),Area (ha),WshedArea (ac),WshedArea (ha),Wshed/Area,Zmax (ft),Zmax (m),Zmean (ft),"Zmean (m), orange=calc.",ZmeanCalc?,Residence,Years,Dlatitude,Dlongitude,Class,DamClass,Potable Water?,Swimming beach?,Fish impacts?,Invasive Plants?,Invasive Animals?,Distance to Nearby AIS (mi),Name of Nearest Infected Lake (fixed?),>1HAB Notification?,Multiple Years HAB Notification?,PotableWater PWL,Bathing  PWL,Recreation PWL,AquaticLife PWL,Aesthetics PWL,Habitat PWL,FishConsumption PWL,Date 1st HAB listing 18,Date Last HAB listing 18,#Wks HAB Notification 18,#Wks HAB Updates 18,#Wks HAB Updates 17,#Wks HAB Updates 16,#Wks HAB Updates 15,#Wks HAB Updates 14,#Wks HAB Updates 13,#Wks HAB Updates 12,Weed Management?,Lake Assn Name,Sampled >2011?,18 Samplers,CSLAP Region,Watershed,Exp Region,ExpRegion2,CSLAP,Sampled 2018?,Yrs Last 5,#Yrs>1HABsUpdates,Shore HABs PWS Score,Shore HABs Rec Score,Program,Zebras,Runoff (m),PWS-Days Closed,PWS-Treatments,PWS-MCL Violations,Beach-#Days Closures,Beach-Control measures,Algae Control Measures,Weed Control Measures,Plants,,
7,Adirondack Lake,Hamilton,Indian Lake,218,88,667,270,3.1,16.0,4.8,7.9,2.4,no,0.80,1986-1989,43.78863,-74.25968,B,C,no,,none reported,none reported,banded mystery snail,0,,,,NA,Fully supported,Stressed,Fully supported,Fair,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,carp,,,,Adirondack,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Akron Reservoir,Wyoming,Darien Center,45,18,1630,660,36.4,36.1,11.0,,,no,,2016,42.8690959,-78.3562463,A,B ,yes,,,Eurasian watermilfoil,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully Supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,"June: David Kelley, Rebecca Gorney; July: David Kelley, JL",,Lake Erie/Niagara River,western NY,western ny,LCI,yes,,0,0,0,LCI,no,,,,,,,,,,,
,Algonquin Lake,Hamilton,,249,101,166400,67338,669.3,10.8,3.3,4.9,1.5,no,,2017,43.396000,-74.2932968,AA,C,no,Wells Beach,,Eurasian Watermilfoil,None Reported,0,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allegheny Reservoir,Cattaraugus,,12233,4951,1395200,564607,114.0,129.9,39.6,,,no,,2017,41.8087997,-78.919899,B,n/a,no,,,Eurasian Watermilfoil,Allegheny Crayfish,0,,"2012, 2013, 2014, 2015, 2016, 2017",yes,NA,Stressed,Impaired,Fully supported,Fair,Fair,Stressed,7-Jul,20-Oct,15,11,11,9,12,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amelia Pond,Steuben,Corning,3,1,,,,10.8,3.3,,,no,,2018,42.1148,-77.0797,,,,,,Eurasian watermilfoil,,,,,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Anawanda Lake,Sullivan,Callicoon Center,38,16,198,80,5.2,45.3,13.8,21.7,6.6,no,2.50,"1988-1993, 1995-1996, 1998-2018",41.85750,-74.96290,B(T),A,no,lake association beach,none reported,none reported,none reported,14.2,Somerset Lake,,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,1,0,,Anawanda Lake Owners' Association,yes,"Karl Stahl, Matt Novak, Joan and Chuck Papa",Downstate,Delaware River,Mid Atlantic,Mid Hudson,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
,Andover Pond,Allegany,Andover,32,13,3276,1326,102.0,4.6,1.4,,0.6,yes,,2015,42.16419,-77.79227,C,A,no,,,Eurasian watermilfoil,none reported,22.5,Smith Pond,2015,no,NA,NA,Impaired,Stressed,Fair,Unknown,Unassessed,NA,NA,4,0,0,1,3,0,0,0,,,yes,,,Genesee River,Finger Lakes,western ny,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
,Ann Lee Pond,Albany,Albany,6,3,2238,905,348.3,5.0,1.5,2.0,0.6,no,0.01,2013,42.738,-73.812,C,A,no,,,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,none reported,0,,,,NA,NA,Impaired,Fully supported,Poor,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Mohawk River,,Mohawk,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
32,Arnold Lake,Otsego,Milford,64,26,267,108,4.2,,,27.9,8.5,no,4.01,"1987-1991, 1995",42.61106,-75.00497,B(T),,no,,none reported,none reported,none reported,14.1,Canadarago Lake,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Arnold Lake Association,,,,Susquehanna River,,Central NY,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
120,Augur Lake,Essex,Chesterfield,378,153,2802,1134,7.4,21.0,6.4,9.9,3.0,no,1.06,"1997-2001, 2003-2013, 2015-2018",44.45780,-73.50140,A,,yes,Camp Whippoorwill for Girls; Camp Lincoln for Boys,none reported,Eurasian watermilfoil,none reported,0,,,no,Fully supported,Fully supported,Stressed,Fully supported,Good,Poor,Fully supported,NA,NA,0,0,0,0,0,0,0,0,carp,Augur Lake Property Owners Association ,yes,"Paul, Kay and Eric Knott, Noel and George Cacchio",Adirondack,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Avon Marsh Dam Pond,Livingston,Avon,8,3,431,174,51.9,9.8,3.0,,,no,,2014-2015,42.90147,-77.66844,,B,no,,,none reported,none reported,8.8,Conesus Lake,2016,no,,,,,,,,11-Aug,6-Oct,6,3,3,8,?,0,0,0,,,yes,,,Genesee River,Finger Lakes,Finger Lakes,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
