LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
7,Adirondack Lake,Hamilton,Indian Lake,1104ADI0587A,43.79,-74.2624,,,,,,
,Akron Reservoir,Wyoming,Darien Center,0102AKR0013,42.8675,-78.3576,,,,,,
,Algonquin Lake,Hamilton,,1104ALG0276A,43.396,-74.2933,,,,,,
,Allegheny Reservoir,Cattaraugus,,,,,,,,,,
,Amelia Pond,Steuben,Corning,0501UWB5107,42.1153,-77.0802,,,,,,
53,Anawanda Lake,Sullivan,Callicoon Center,1401ANA0251,41.8575,-74.9629,,,,,,
,Andover Pond,Allegany,Andover,0403AND0164,42.1656,-77.7936,,,,,,
,Ann Lee Pond,Albany,Albany,1201ANN0496,42.7379,-73.813,,,,,,
32,Arnold Lake,Otsego,Milford,0601ARN0362,42.6114,-75.0047,,,,,,
120,Augur Lake,Essex,Chesterfield,1004AUG0213,44.4578,-73.5014,,,,,,
,Avon Marsh Dam Pond,Livingston,Avon,0402UWB5160,42.9015,-77.6684,,,,,,
29,Babcock Lake,Rensselaer,Grafton,1102BAB1109,42.8168,-73.3995,,,,,,
77,Ballston Lake,Saratoga,Ballston,1101UWB1090A,42.9072,-73.8697,,,,,,
77,Ballston Lake-shallow site,Saratoga,Ballston,1101BAL1090,42.9388,-73.8578,,,,,,
,Balsam Pond,Chenango,McDonough,0602BAL5648,42.5519,-75.763,,,,,,
257,Barger Pond,Putnam,Putnam Valley,1301BAR0181,41.3595,-73.8127,,,,,,
229,Barrett Pond,Putnam,Kent,1302BAR0071,41.4344,-73.7406,,,,,,
121,Bartlett Pond,Essex,Essex,1005BAR0338,44.1065,-73.5108,,,,,,
,Basic Creek Reservoir,Albany,Westerlo,1309BAS0950A,42.4812,-74.0139,,,,,,
,Beacon Reservoir,Putnam,Phillipstown,1304BEA0345A,41.4904,-73.8826,,,,,,
,Beales Pond,Delaware,Masonville,1404BEA0401,42.2019,-75.3789,,,,,,
,Bear Lake,Chautauqua,Stockton,0202BEA0131,42.3468,-79.3839,,,,,,
216,Beaver Dam Lake,Orange,"Blooming Grove, Cornwall, New Windsor",1303BEA0234,41.442,-74.1159,,,,,,
78,Beaver Lake,Broome,Windsor,0601BEA0174,42.0455,-75.6657,,,,,,
,Beaver Lake/Alma Pond,Allegany,Alma,0201ALM5535,42.0141,-78.0014,,,,,,
232,Bedford Lake,Westchester,Bedford,1302HOW0127,41.1948,-73.7037,,,,,,
235,Big Bowman Lake,Rensselaer,Sand Lake,1301BOW0444,42.6483,-73.488,,,,,,
,Binnewater Pond,Orange,Greenville,1306BIN0735,41.4103,-74.5512,,,,,,
,Birdseye Hollow Lake,Steuben,Bradford,0502BIR5140,42.378,-77.1524,,,,,,
51,Black Lake,St. Lawrence,Hammond,,,,,,,,,
2015,2016," 2017""",yes,,,,,,,,,
217,Black Pond,Suffolk,Southhampton,1701BLA0788,40.9513,-72.2963,,,,,,
106,Blind Sodus Bay,Wayne,Wolcott,0302BLI0077,43.3383,-76.7283,,,,,,
202,Blue Heron Lake,Westchester,Pound Ridge,1302BLU0122A,41.1916,-73.5922,,,,,,
237,Boyd Lake,Jefferson,Alexandria,0906UWB5014,44.3094,-75.7397,,,,,,
46,Bradley Brook Reservoir,Madison,West Eaton,0602BRA0154,42.834,-75.6622,,,,,,
125,Bradys Pond,Richmond,New York City,1702BRA1039,40.6045,-74.0802,,,,,,
28,Brant Lake,Warren,Brant Lake,1104BRA0347,43.7161,-73.7026,,,,,,
175,Brantingham Lake,Lewis,Greig,0801BRA0689,43.6937,-75.2784,,,,,,
,Brick Pond,Chemung,Elmira,0501WEY0012,42.1069,-76.8028,,,,,,
,Brocton Reservoir,Chautauqua,Fredonia,0105BRO0160K,42.3681,-79.4261,,,,,,
,Browns Pond,Orange,New Windsor,1303BRO0226A,41.4741,-74.0868,,,,,,
,Buck Pond,Monroe,Rochester,0301BUC0153,43.2815,-77.6638,,,,,,
231,Buckingham Lake,Albany,Albany,1301BUC0303,42.6635,-73.8071,,,,,,
,Bug Lake,Hamilton,Inlet,0801BUG0789,43.7688,-74.7297,,,,,,
,Bullhead Lake,Oneida,Ava,0703BUL0076,43.3958,-75.5376,,,,,,
122,Burden Lake,Rensselaer,Sand Lake,1301BUR0386C,42.5947,-73.5614,,,,,,
12,Butterfield Lake,Jefferson,Redwood,0906BUT0054,44.3165,-75.7752,,,,,,
62,Canaan Lake,Suffolk,Brookhaven,1701CAN0889,40.7879,-73.0212,,,,,,
176,Canada Lake,Fulton,Caroga,1201CAN0717,43.1654,-74.5293,,,,,,
57,Canadarago Lake,Otsego,Richfield Springs,0601CAN0392,42.8153,-75.0061,,,,,,
252,Canadice Lake,Ontario,Canadice,0402CAN0043,42.7184,-77.5688,,,,,,
253,Canandaigua Lake,"Ontario, Yates","Gorham, Canandaigua, Middlesex, Italy, South Bristol",0704CAN0286,42.778,-77.3051,,,,,,
,Carterville Pond,Oswego,Williamstown?,0703UWB5181,43.3378,-75.8945,,,,,,
,Case Lake,Cattaraugus,Franklinville,0201CAS0109C,42.3244,-78.4407,,,,,,
182,Cayuga Lake,"Cayuga, Tompkins, Seneca","Montezuma, Aurelius, Springport, Ledyard, Genoa, Lansing, Ithaca, Ulysses, Covert, Ovid, Romulus, Varick, Fayette, Seneca Falls",0704UWB5623,42.9764,-76.7586,,,,,,
41,Cazenovia Lake,Madison,Cazenovia,0703CAZ0153,42.9482,-75.872,,,,,,
,Center Pond,Hamilton?,,1104CEN0593,43.7425,-74.2149,,,,,,
